map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
All Maps,VIT,2,5 (2),2 (0),15 (6),20 (8),459842
All Maps,TH,2,6 (2),1 (1),9 (6),26 (17),459842
Lotus,APK,0,4 (0),1 (0),4 (3),9 (2),459843
Lotus,FNC,2,2 (2),0 (0),3 (3),13 (8),459843
Split,APK,1,3 (1),2 (0),5 (2),20 (11),459843
Split,FNC,1,3 (2),3 (1),4 (1),20 (12),459843
All Maps,APK,1,7 (1),3 (0),9 (5),29 (13),459843
All Maps,FNC,3,5 (4),3 (1),7 (4),33 (20),459843
Haven,KC,0,4 (0),1 (0),4 (3),17 (11),459844
Haven,M8,2,2 (2),1 (0),10 (3),13 (7),459844
Pearl,KC,2,2 (2),0 (0),3 (3),10 (8),459844
Pearl,M8,0,3 (0),3 (1),4 (1),5 (0),459844
All Maps,KC,2,6 (2),1 (0),7 (6),27 (19),459844
All Maps,M8,2,5 (2),4 (1),14 (4),18 (7),459844
Ascent,VIT,1,3 (1),1 (1),3 (2),11 (9),459845
Ascent,APK,1,3 (1),1 (0),7 (4),7 (0),459845
Lotus,VIT,1,3 (1),1 (0),7 (3),12 (9),459845
Lotus,APK,1,3 (1),2 (0),6 (3),12 (6),459845
All Maps,VIT,2,6 (2),2 (1),10 (5),23 (18),459845
All Maps,APK,2,6 (2),3 (0),13 (7),19 (6),459845
Lotus,TL,2,2 (2),0 (0),7 (6),9 (5),459846
Lotus,MKOI,0,5 (0),0 (0),6 (3),7 (2),459846
Split,TL,2,4 (4),1 (0),6 (3),11 (6),459846
Split,MKOI,0,5 (0),2 (0),1 (0),14 (9),459846
All Maps,TL,4,6 (6),1 (0),13 (9),20 (11),459846
All Maps,MKOI,0,10 (0),2 (0),7 (3),21 (11),459846
Lotus,M8,0,4 (0),0 (0),3 (2),19 (10),459847
Lotus,BBL,2,2 (2),0 (0),9 (5),15 (7),459847
Haven,M8,0,3 (0),3 (1),3 (0),6 (1),459847
Haven,BBL,2,2 (2),0 (0),3 (2),10 (9),459847
All Maps,M8,0,7 (0),3 (1),6 (2),25 (11),459847
All Maps,BBL,4,4 (4),0 (0),12 (7),25 (16),459847
Ascent,GX,1,3 (1),1 (0),4 (2),15 (10),459848
Ascent,FNC,1,3 (1),1 (0),5 (2),14 (7),459848
Lotus,GX,2,2 (2),2 (0),8 (2),6 (1),459848
Lotus,FNC,0,4 (0),0 (0),1 (1),13 (12),459848
All Maps,GX,1,3 (1),1 (0),7 (3),12 (6),459848
All Maps,FNC,1,3 (1),0 (0),5 (1),15 (11),459848
Pearl,KC,1,3 (1),1 (0),5 (1),9 (3),459849
Pearl,FUT,1,3 (1),1 (1),2 (2),12 (9),459849
Lotus,KC,2,2 (2),0 (0),9 (3),13 (6),459849
Lotus,FUT,0,4 (0),2 (0),0 (0),18 (13),459849
All Maps,KC,0,4 (1),2 (2),0 (0),20 (11),459849
All Maps,FUT,2,4 (2),2 (1),4 (2),16 (7),459849
Haven,NAVI,0,4 (0),1 (0),4 (2),7 (1),459850
Haven,TH,2,2 (2),0 (0),3 (3),11 (8),459850
