map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Pearl,SEN,1,4 (2),1 (0),6 (1),9 (4),428001
Pearl,G2,1,3 (1),1 (0),5 (3),11 (9),428001
All Maps,SEN,2,7 (3),2 (0),13 (5),18 (6),428001
All Maps,G2,2,6 (2),2 (0),8 (6),24 (18),428001
Bind,MIBR,1,3 (1),1 (0),8 (4),9 (3),428011
Bind,KRÜ,1,3 (1),1 (0),3 (3),14 (9),428011
Abyss,MIBR,1,3 (1),1 (0),2 (1),15 (11),428011
Abyss,KRÜ,1,3 (1),2 (0),6 (3),10 (4),428011
and,MIBR,2,2 (2),2 (1),7 (4),13 (6),428011
and,KRÜ,0,4 (0),2 (0),2 (0),16 (11),428011
All Maps,MIBR,4,8 (4),4 (1),17 (9),37 (20),428011
All Maps,KRÜ,2,10 (2),5 (0),11 (6),40 (24),428011
Lotus,SEN,1,3 (2),1 (0),5 (3),11 (8),428012
Lotus,MIBR,1,3 (1),2 (1),4 (1),11 (4),428012
Abyss,SEN,0,4 (1),0 (0),0 (0),14 (12),428012
Abyss,MIBR,2,3 (2),1 (0),8 (2),6 (1),428012
Pearl,SEN,1,3 (1),2 (0),9 (5),26 (13),428012
Pearl,MIBR,1,3 (1),1 (0),6 (3),30 (17),428012
Split,SEN,2,3 (3),0 (0),5 (3),12 (7),428012
Split,MIBR,0,3 (0),3 (1),4 (2),10 (4),428012
bind,SEN,4,13 (7),3 (0),19 (11),63 (40),428012
bind,MIBR,4,12 (4),7 (2),22 (8),57 (26),428012
Split,G2,0,4 (0),2 (0),4 (2),7 (2),428002
Split,SEN,2,2 (2),1 (1),4 (2),10 (8),428002
Pearl,G2,2,2 (2),2 (0),5 (4),12 (7),428002
Pearl,SEN,0,4 (0),2 (1),3 (1),12 (6),428002
Abyss,G2,1,4 (1),2 (1),3 (2),13 (5),428002
Abyss,SEN,1,3 (1),1 (0),3 (2),15 (10),428002
Fracture,G2,2,2 (2),0 (0),4 (3),12 (8),428002
Fracture,SEN,0,4 (0),2 (0),7 (2),5 (3),428002
All Maps,G2,2,2 (2),1 (0),7 (4),13 (7),428002
All Maps,SEN,0,4 (0),1 (0),5 (3),13 (7),428002
