match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
427991,Evil Geniuses vs LOUD,VCT 2025: Americas Kickoff,2025-01-16 17:00:00,Bo3,Evil Geniuses vs LOUD,0 - 2,2,Patch 10.0,LOUD ban Fracture; EG ban Haven; LOUD pick Split; EG pick Pearl; LOUD ban Abyss; EG ban Bind; Lotus remains
427992,MIBR vs 100 Thieves,VCT 2025: Americas Kickoff,2025-01-16 19:45:00,Bo3,MIBR vs 100 Thieves,0 - 2,2,Patch 10.0,MIBR ban Fracture; 100T ban Abyss; MIBR pick Lotus; 100T pick Bind; MIBR ban Split; 100T ban Pearl; Haven remains
427994,2Game Esports vs FURIA,VCT 2025: Americas Kickoff,2025-01-17 17:00:00,Bo3,2Game Esports vs FURIA,0 - 2,2,Patch 10.0,2G ban Fracture; FUR ban Pearl; 2G pick Haven; FUR pick Lotus; 2G ban Abyss; FUR ban Split; Bind remains
427993,NRG vs Cloud9,VCT 2025: Americas Kickoff,2025-01-17 19:05:00,Bo3,NRG vs Cloud9,0 - 2,2,Patch 10.0,NRG ban Abyss; C9 ban Haven; NRG pick Fracture; C9 pick Lotus; NRG ban Pearl; C9 ban Split; Bind remains
427995,KRÜ Esports vs LOUD,VCT 2025: Americas Kickoff,2025-01-18 17:00:00,Bo3,KRÜ Esports vs LOUD,0 - 2,2,Patch 10.0,LOUD ban Fracture; KRÜ ban Pearl; LOUD pick Haven; KRÜ pick Split; LOUD ban Abyss; KRÜ ban Lotus; Bind remains
427996,Sentinels vs 100 Thieves,VCT 2025: Americas Kickoff,2025-01-18 19:25:00,Bo3,Sentinels vs 100 Thieves,2 - 1,3,Patch 10.0,SEN ban Fracture; 100T ban Abyss; SEN pick Split; 100T pick Bind; SEN ban Haven; 100T ban Lotus; Pearl remains
427998,LEVIATÁN vs FURIA,VCT 2025: Americas Kickoff,2025-01-19 17:00:00,Bo3,LEVIATÁN vs FURIA,2 - 0,2,Patch 10.0,FUR ban Abyss; LEV ban Bind; FUR pick Haven; LEV pick Split; FUR ban Pearl; LEV ban Lotus; Fracture remains
427997,G2 Esports vs Cloud9,VCT 2025: Americas Kickoff,2025-01-19 19:20:00,Bo3,G2 Esports vs Cloud9,2 - 0,2,Patch 10.0,C9 ban Haven; G2 ban Fracture; C9 pick Lotus; G2 pick Abyss; C9 ban Bind; G2 ban Pearl; Split remains
428003,FURIA vs Evil Geniuses,VCT 2025: Americas Kickoff,2025-01-23 17:00:00,Bo3,FURIA vs Evil Geniuses,0 - 2,2,Patch 10.0,EG ban Haven; FUR ban Split; EG pick Abyss; FUR pick Fracture; EG ban Bind; FUR ban Pearl; Lotus remains
428004,Cloud9 vs MIBR,VCT 2025: Americas Kickoff,2025-01-23 19:20:00,Bo3,Cloud9 vs MIBR,1 - 2,3,Patch 10.0,C9 ban Haven; MIBR ban Fracture; C9 pick Lotus; MIBR pick Abyss; C9 ban Bind; MIBR ban Split; Pearl remains
428006,KRÜ Esports vs 2Game Esports,VCT 2025: Americas Kickoff,2025-01-24 17:00:00,Bo3,KRÜ Esports vs 2Game Esports,2 - 0,2,Patch 10.0,2G ban Fracture; KRÜ ban Pearl; 2G pick Abyss; KRÜ pick Split; 2G ban Lotus; KRÜ ban Haven; Bind remains
428005,100 Thieves vs NRG,VCT 2025: Americas Kickoff,2025-01-24 19:00:00,Bo3,100 Thieves vs NRG,1 - 2,3,Patch 10.0,100T ban Abyss; NRG ban Split; 100T pick Lotus; NRG pick Pearl; 100T ban Haven; NRG ban Fracture; Bind remains
427999,LOUD vs Sentinels,VCT 2025: Americas Kickoff,2025-01-31 17:00:00,Bo3,LOUD vs Sentinels,1 - 2,3,Patch 10.01,LOUD ban Fracture; SEN ban Haven; LOUD pick Lotus; SEN pick Pearl; LOUD ban Abyss; SEN ban Bind; Split remains
428000,G2 Esports vs LEVIATÁN,VCT 2025: Americas Kickoff,2025-01-31 21:00:00,Bo3,G2 Esports vs LEVIATÁN,2 - 0,2,Patch 10.01,G2 ban Haven; LEV ban Bind; G2 pick Pearl; LEV pick Fracture; G2 ban Lotus; LEV ban Split; Abyss remains
428007,Evil Geniuses vs MIBR,VCT 2025: Americas Kickoff,2025-02-01 17:00:00,Bo3,Evil Geniuses vs MIBR,0 - 2,2,Patch 10.01,MIBR ban Fracture; EG ban Haven; MIBR pick Abyss; EG pick Split; MIBR ban Lotus; EG ban Bind; Pearl remains
428008,NRG vs KRÜ Esports,VCT 2025: Americas Kickoff,2025-02-01 19:30:00,Bo3,NRG vs KRÜ Esports,1 - 2,3,Patch 10.01,KRÜ ban Fracture; NRG ban Split; KRÜ pick Abyss; NRG pick Haven; KRÜ ban Pearl; NRG ban Lotus; Bind remains
428009,LEVIATÁN vs MIBR,VCT 2025: Americas Kickoff,2025-02-02 17:00:00,Bo3,LEVIATÁN vs MIBR,1 - 2,3,Patch 10.01,LEV ban Bind; MIBR ban Fracture; LEV pick Lotus; MIBR pick Pearl; LEV ban Abyss; MIBR ban Haven; Split remains
428010,LOUD vs KRÜ Esports,VCT 2025: Americas Kickoff,2025-02-02 20:30:00,Bo3,LOUD vs KRÜ Esports,0 - 2,2,Patch 10.01,KRÜ ban Fracture; LOUD ban Abyss; KRÜ pick Bind; LOUD pick Haven; KRÜ ban Pearl; LOUD ban Split; Lotus remains
428001,Sentinels vs G2 Esports,VCT 2025: Americas Kickoff,2025-02-06 17:00:00,Bo3,Sentinels vs G2 Esports,0 - 2,2,Patch 10.01,G2 ban Lotus; SEN ban Split; G2 pick Abyss; SEN pick Pearl; G2 ban Haven; SEN ban Bind; Fracture remains
428011,MIBR vs KRÜ Esports,VCT 2025: Americas Kickoff,2025-02-06 19:20:00,Bo3,MIBR vs KRÜ Esports,2 - 1,3,Patch 10.01,KRÜ ban Pearl; MIBR ban Lotus; KRÜ pick Bind; MIBR pick Abyss; KRÜ ban Fracture; MIBR ban Haven; Split remains
428012,Sentinels vs MIBR,VCT 2025: Americas Kickoff,2025-02-07 17:00:00,Bo5,Sentinels vs MIBR,3 - 1,4,Patch 10.01,SEN ban Haven; MIBR ban Fracture; SEN pick Lotus; MIBR pick Abyss; SEN pick Pearl; MIBR pick Split; Bind remains
428002,G2 Esports vs Sentinels,VCT 2025: Americas Kickoff,2025-02-08 17:00:00,Bo5,G2 Esports vs Sentinels,3 - 2,5,Patch 10.01,G2 ban Bind; G2 ban Lotus; G2 pick Split; SEN pick Pearl; G2 pick Abyss; SEN pick Fracture; Haven remains
