map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Sunset,GE,0,4 (0),0 (0),6 (0),4 (1),314301
Sunset,ZETA,2,2 (2),0 (0),4 (4),8 (7),314301
Icebox,GE,2,2 (2),2 (0),5 (2),14 (9),314301
Icebox,ZETA,0,4 (1),2 (0),3 (2),14 (7),314301
All Maps,GE,0,4 (0),0 (0),5 (3),12 (5),314301
All Maps,ZETA,2,2 (2),2 (0),5 (4),12 (7),314301
Sunset,TS,0,4 (0),1 (0),2 (1),14 (7),314302
Sunset,DRX,2,2 (2),2 (1),5 (3),12 (7),314302
Lotus,TS,0,4 (0),2 (1),2 (1),13 (6),314302
Lotus,DRX,2,2 (2),1 (0),9 (6),9 (5),314302
All Maps,TS,0,8 (0),3 (1),4 (2),27 (13),314302
All Maps,DRX,4,4 (4),3 (1),14 (9),21 (12),314302
Lotus,BLD,2,2 (2),0 (0),5 (4),15 (7),314303
Lotus,TLN,0,5 (0),1 (0),2 (0),14 (9),314303
Bind,BLD,1,3 (1),2 (0),6 (3),9 (3),314303
Bind,TLN,1,3 (1),0 (0),3 (3),14 (9),314303
All Maps,BLD,1,3 (2),1 (0),6 (3),9 (1),314303
All Maps,TLN,1,4 (1),0 (0),3 (1),12 (11),314303
Lotus,T1,1,3 (1),0 (0),8 (3),12 (6),314304
Lotus,PRX,1,3 (1),0 (0),8 (4),12 (8),314304
Bind,T1,0,4 (0),0 (0),5 (3),17 (9),314304
Bind,PRX,2,2 (2),0 (0),8 (4),16 (8),314304
All Maps,T1,1,7 (1),0 (0),13 (6),29 (15),314304
All Maps,PRX,3,5 (3),0 (0),16 (8),28 (16),314304
Breeze,TS,1,3 (1),2 (0),8 (5),10 (4),314305
Breeze,RRQ,1,3 (1),0 (0),9 (5),11 (7),314305
Split,TS,1,3 (1),0 (0),4 (4),12 (8),314305
Split,RRQ,1,3 (1),0 (0),11 (2),5 (3),314305
All Maps,TS,1,3 (1),1 (0),4 (2),18 (9),314305
