map_name,times_played,attack_win_percent,defense_win_percent
Lotus,26,53%,47%
Sunset,16,44%,56%
Ascent,15,48%,52%
Bind,14,50%,50%
Icebox,12,47%,53%
Split,9,50%,50%
Breeze,8,53%,47%
