map_name,times_played,attack_win_percent,defense_win_percent
Lotus,8,53%,47%
Ascent,8,45%,55%
Sunset,8,48%,52%
Bind,7,46%,54%
Icebox,6,42%,58%
Split,5,57%,43%
Breeze,4,44%,56%
