date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Sat, June 15, 2024",314340,1:30 PM,ZETA DIVISION,1,DRX,2,1-2,DRX,Completed,Week 1,Regular Season
"Sat, June 15, 2024",314341,4:10 PM,Team Secret,2,BLEED,1,2-1,Team Secret,Completed,Week 1,Regular Season
"Sun, June 16, 2024",314342,1:30 PM,T1,1,Gen.G,2,1-2,Gen.G,Completed,Week 1,Regular Season
"Sun, June 16, 2024",314343,5:00 PM,Paper Rex,2,TALON,0,2-0,Paper Rex,Completed,Week 1,Regular Season
"Mon, June 17, 2024",314344,1:30 PM,Rex Regum Qeon,2,DetonatioN FocusMe,0,2-0,Rex Regum Qeon,Completed,Week 1,Regular Season
"Mon, June 17, 2024",314345,4:05 PM,Team Secret,2,Global Esports,0,2-0,Team Secret,Completed,Week 1,Regular Season
"Sat, June 22, 2024",314346,1:30 PM,TALON,2,Rex Regum Qeon,1,2-1,TALON,Completed,Week 2,Regular Season
"Sat, June 22, 2024",314347,5:20 PM,Paper Rex,2,DRX,1,2-1,Paper Rex,Completed,Week 2,Regular Season
"Sun, June 23, 2024",314348,1:30 PM,Global Esports,2,BLEED,0,2-0,Global Esports,Completed,Week 2,Regular Season
"Sun, June 23, 2024",314349,3:35 PM,DetonatioN FocusMe,2,ZETA DIVISION,1,2-1,DetonatioN FocusMe,Completed,Week 2,Regular Season
"Mon, June 24, 2024",314350,1:30 PM,DRX,0,Rex Regum Qeon,2,0-2,Rex Regum Qeon,Completed,Week 2,Regular Season
"Mon, June 24, 2024",314351,3:50 PM,Team Secret,2,T1,1,2-1,Team Secret,Completed,Week 2,Regular Season
"Sat, June 29, 2024",314352,1:30 PM,TALON,2,DetonatioN FocusMe,0,2-0,TALON,Completed,Week 3,Regular Season
"Sat, June 29, 2024",314353,3:40 PM,ZETA DIVISION,0,Rex Regum Qeon,2,0-2,Rex Regum Qeon,Completed,Week 3,Regular Season
"Sun, June 30, 2024",314354,1:30 PM,Global Esports,1,T1,2,1-2,T1,Completed,Week 3,Regular Season
"Sun, June 30, 2024",314355,4:45 PM,BLEED,1,Gen.G,2,1-2,Gen.G,Completed,Week 3,Regular Season
"Mon, July 1, 2024",314356,1:30 PM,Paper Rex,2,DetonatioN FocusMe,0,2-0,Paper Rex,Completed,Week 3,Regular Season
"Mon, July 1, 2024",314357,3:30 PM,DRX,2,TALON,1,2-1,DRX,Completed,Week 3,Regular Season
"Fri, July 5, 2024",314358,1:30 PM,Paper Rex,2,Rex Regum Qeon,1,2-1,Paper Rex,Completed,Week 4,Regular Season
"Fri, July 5, 2024",314359,4:30 PM,Gen.G,2,Global Esports,0,2-0,Gen.G,Completed,Week 4,Regular Season
"Sat, July 6, 2024",314360,1:30 PM,DRX,2,DetonatioN FocusMe,1,2-1,DRX,Completed,Week 4,Regular Season
"Sat, July 6, 2024",314361,4:15 PM,ZETA DIVISION,2,TALON,1,2-1,ZETA DIVISION,Completed,Week 4,Regular Season
"Sun, July 7, 2024",314362,1:30 PM,Gen.G,1,Team Secret,2,1-2,Team Secret,Completed,Week 4,Regular Season
"Sun, July 7, 2024",314363,4:30 PM,Paper Rex,2,ZETA DIVISION,1,2-1,Paper Rex,Completed,Week 4,Regular Season
"Mon, July 8, 2024",314364,1:30 PM,T1,2,BLEED,1,2-1,T1,Completed,Week 4,Regular Season
"Fri, July 12, 2024",365316,1:30 PM,Gen.G,2,Rex Regum Qeon,0,2-0,Gen.G,Completed,Knockout Round,Playoffs
"Fri, July 12, 2024",365317,3:45 PM,Team Secret,0,TALON,2,0-2,TALON,Completed,Knockout Round,Playoffs
"Sat, July 13, 2024",365318,1:30 PM,Paper Rex,0,Gen.G,2,0-2,Gen.G,Completed,Upper Semifinals,Playoffs
"Sat, July 13, 2024",365319,3:35 PM,DRX,2,TALON,0,2-0,DRX,Completed,Upper Semifinals,Playoffs
"Sun, July 14, 2024",365320,1:30 PM,Gen.G,2,DRX,1,2-1,Gen.G,Completed,Upper Final,Playoffs
"Sun, July 14, 2024",365322,4:45 PM,Paper Rex,2,TALON,0,2-0,Paper Rex,Completed,Lower Round 1,Playoffs
"Sat, July 20, 2024",365323,1:30 PM,DRX,3,Paper Rex,2,3-2,DRX,Completed,Lower Final,Playoffs
"Sun, July 21, 2024",365321,1:30 PM,Gen.G,3,DRX,1,3-1,Gen.G,Completed,Grand Final,Playoffs
