map_name,times_played,attack_win_percent,defense_win_percent
Ascent,18,50%,50%
Sunset,17,51%,49%
Icebox,14,64%,36%
Lotus,14,49%,51%
Haven,9,54%,46%
Split,7,44%,56%
Bind,5,42%,58%
Abyss,3,44%,56%
Breeze,1,71%,29%
