map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Ascent,GEN,2,2 (2),0 (0),6 (3),11 (8),314355
Sunset,BLD,1,3 (1),2 (1),2 (1),16 (10),314355
Sunset,GEN,1,3 (2),1 (0),8 (5),11 (3),314355
All Maps,BLD,0,4 (0),2 (0),1 (1),17 (10),314355
All Maps,GEN,2,2 (2),0 (0),6 (4),16 (7),314355
Icebox,PRX,1,3 (1),0 (0),2 (2),12 (10),314356
Icebox,DFM,1,3 (1),1 (1),7 (2),6 (0),314356
Sunset,PRX,1,3 (1),1 (0),3 (2),14 (10),314356
Sunset,DFM,1,3 (1),0 (0),4 (1),14 (6),314356
All Maps,PRX,2,6 (2),1 (0),5 (4),26 (20),314356
All Maps,DFM,2,6 (2),1 (1),11 (3),20 (6),314356
Ascent,DRX,1,3 (1),4 (1),3 (2),14 (7),314357
Ascent,TLN,1,3 (1),1 (0),2 (1),18 (11),314357
Haven,DRX,0,4 (0),2 (2),1 (0),16 (11),314357
Haven,TLN,2,2 (2),0 (0),9 (3),12 (5),314357
All Maps,DRX,1,3 (1),1 (0),3 (3),11 (9),314357
All Maps,TLN,1,3 (1),1 (0),9 (1),5 (3),314357
Lotus,PRX,0,3 (0),0 (0),6 (6),11 (7),314358
Lotus,RRQ,2,2 (2),1 (0),6 (2),11 (3),314358
Ascent,PRX,1,3 (1),1 (0),9 (5),7 (1),314358
Ascent,RRQ,1,3 (2),0 (0),6 (5),11 (6),314358
All Maps,PRX,2,2 (2),2 (1),5 (3),14 (7),314358
All Maps,RRQ,0,4 (0),1 (0),9 (5),9 (5),314358
Lotus,GEN,2,2 (2),0 (0),4 (3),8 (8),314359
Lotus,GE,0,3 (0),1 (0),8 (0),2 (1),314359
Ascent,GEN,2,2 (2),1 (0),7 (3),9 (8),314359
Ascent,GE,0,4 (0),0 (0),8 (2),7 (4),314359
All Maps,GEN,4,4 (4),1 (0),11 (6),17 (16),314359
All Maps,GE,0,7 (0),1 (0),16 (2),9 (5),314359
Icebox,DRX,1,3 (1),1 (0),3 (3),13 (9),314360
