map_name,times_played,attack_win_percent,defense_win_percent
Split,9,45%,55%
Lotus,8,55%,45%
Sunset,8,52%,48%
Icebox,6,54%,46%
Ascent,5,50%,50%
Breeze,5,55%,45%
Bind,4,49%,51%
