map_name,times_played,attack_win_percent,defense_win_percent
Sunset,17,53%,47%
Haven,14,51%,49%
Icebox,14,55%,45%
Lotus,12,53%,47%
Ascent,10,41%,59%
Bind,10,46%,54%
Abyss,3,55%,45%
Split,3,44%,56%
