map_name,times_played,attack_win_percent,defense_win_percent
Icebox,17,54%,46%
Lotus,15,55%,45%
Bind,14,55%,45%
Split,14,54%,46%
Sunset,14,45%,55%
Breeze,13,51%,49%
Ascent,8,48%,52%
