map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Breeze,KC,2,2 (2),1 (0),5 (2),9 (9),318911
Breeze,GX,0,4 (0),0 (0),6 (1),7 (3),318911
Sunset,KC,2,3 (2),2 (1),4 (2),13 (8),318911
Sunset,GX,0,4 (1),1 (0),4 (1),13 (7),318911
All Maps,KC,4,5 (4),3 (1),9 (4),22 (17),318911
All Maps,GX,0,8 (1),1 (0),10 (2),20 (10),318911
Split,MKOI,0,4 (0),0 (0),4 (1),14 (8),318913
Split,TL,2,3 (2),1 (0),4 (3),14 (8),318913
Ascent,MKOI,1,3 (1),1 (0),8 (5),8 (1),318913
Ascent,TL,1,4 (1),0 (0),3 (2),13 (10),318913
All Maps,MKOI,1,7 (1),1 (0),12 (6),22 (9),318913
All Maps,TL,3,7 (3),1 (0),7 (5),27 (18),318913
Bind,VIT,1,2 (1),3 (0),9 (3),8 (5),318914
Bind,NAVI,1,3 (1),0 (0),4 (2),15 (10),318914
Lotus,VIT,2,2 (2),2 (0),11 (2),2 (0),318914
Lotus,NAVI,0,4 (1),0 (0),0 (0),13 (12),318914
All Maps,VIT,3,4 (3),5 (0),20 (5),10 (5),318914
All Maps,NAVI,1,7 (2),0 (0),4 (2),28 (22),318914
Icebox,FNC,0,4 (0),2 (0),6 (2),5 (2),318915
Icebox,TH,2,2 (2),0 (0),4 (3),11 (8),318915
Lotus,FNC,1,3 (1),2 (1),3 (1),24 (12),318915
Lotus,TH,1,3 (1),2 (2),6 (3),21 (11),318915
All Maps,FNC,1,7 (1),4 (1),9 (3),29 (14),318915
All Maps,TH,3,5 (3),2 (2),10 (6),32 (19),318915
Split,TL,1,4 (1),0 (0),7 (2),7 (2),318916
Split,FUT,1,3 (2),1 (0),2 (1),12 (10),318916
Icebox,TL,2,4 (2),1 (0),5 (3),11 (3),318916
Icebox,FUT,0,4 (1),2 (0),1 (0),14 (12),318916
All Maps,TL,3,8 (3),1 (0),12 (5),18 (5),318916
All Maps,FUT,1,7 (3),3 (0),3 (1),26 (22),318916
Ascent,BBL,1,3 (1),1 (0),4 (1),12 (5),318917
Ascent,M8,1,3 (1),0 (0),4 (3),13 (9),318917
Sunset,BBL,1,3 (1),1 (0),4 (2),16 (8),318917
Sunset,M8,1,3 (1),0 (0),10 (7),11 (5),318917
All Maps,BBL,2,6 (2),2 (0),8 (3),28 (13),318917
All Maps,M8,2,6 (2),0 (0),14 (10),24 (14),318917
Bind,KC,1,3 (1),2 (0),2 (1),17 (11),318918
Bind,FUT,1,3 (2),3 (1),1 (1),17 (7),318918
Lotus,KC,1,4 (1),2 (0),4 (1),11 (6),318918
Lotus,FUT,1,3 (1),0 (0),4 (1),14 (11),318918
All Maps,KC,1,3 (1),1 (1),7 (2),9 (3),318918
All Maps,FUT,1,3 (1),1 (0),3 (2),13 (10),318918
Breeze,VIT,2,3 (3),3 (1),8 (5),8 (4),318919
Breeze,TH,0,3 (0),2 (1),4 (3),13 (5),318919
Sunset,VIT,2,2 (2),1 (0),10 (5),11 (4),318919
Sunset,TH,0,4 (0),3 (1),4 (3),13 (9),318919
All Maps,VIT,1,3 (1),2 (1),4 (2),13 (9),318919
All Maps,TH,1,3 (1),1 (0),11 (6),7 (2),318919
Lotus,TL,2,4 (2),0 (0),6 (3),13 (8),318920
Lotus,NAVI,0,3 (0),2 (0),2 (1),16 (9),318920
Split,TL,1,3 (1),2 (0),6 (2),13 (8),318920
Split,NAVI,1,3 (1),1 (0),7 (4),13 (8),318920
All Maps,TL,1,3 (1),2 (0),7 (1),6 (3),318920
All Maps,NAVI,1,3 (1),0 (0),4 (4),11 (8),318920
Breeze,BBL,2,3 (2),0 (0),6 (4),8 (7),318921
Breeze,MKOI,0,4 (1),0 (0),4 (1),9 (2),318921
Icebox,BBL,2,2 (2),0 (0),4 (4),10 (7),318921
Icebox,MKOI,0,4 (0),1 (0),3 (1),8 (2),318921
All Maps,BBL,4,5 (4),0 (0),10 (8),18 (14),318921
All Maps,MKOI,0,8 (1),1 (0),7 (2),17 (4),318921
Bind,FNC,1,3 (1),0 (0),2 (2),13 (10),318922
