map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Icebox,100T,0,4 (0),1 (0),5 (4),13 (6),509816
Bind,MIBR,1,3 (1),1 (0),6 (2),16 (11),509816
Bind,100T,1,4 (1),2 (0),2 (1),18 (10),509816
All Maps,MIBR,3,6 (3),2 (0),12 (4),29 (20),509816
All Maps,100T,1,8 (1),3 (0),7 (5),31 (16),509816
Corrode,G2,1,3 (1),2 (0),4 (2),15 (8),509817
Corrode,EG,1,3 (1),0 (0),7 (4),14 (8),509817
Haven,G2,0,4 (1),0 (0),1 (1),12 (11),509817
Haven,EG,2,2 (2),2 (0),8 (1),5 (1),509817
All Maps,G2,2,2 (2),0 (0),6 (4),9 (7),509817
All Maps,EG,0,3 (0),3 (0),3 (1),8 (3),509817
Haven,LOUD,0,4 (0),4 (2),2 (0),10 (5),509818
Haven,KRÜ,2,2 (2),1 (0),4 (3),13 (8),509818
Bind,LOUD,2,2 (2),4 (2),3 (2),13 (7),509818
Bind,KRÜ,0,4 (0),1 (1),8 (4),9 (4),509818
All Maps,LOUD,0,4 (0),1 (0),3 (0),9 (4),509818
All Maps,KRÜ,2,2 (2),0 (0),4 (4),11 (7),509818
Bind,C9,2,2 (2),0 (0),3 (3),9 (8),509819
Bind,2G,0,4 (0),1 (0),4 (0),5 (1),509819
Lotus,C9,2,2 (2),1 (0),7 (6),10 (5),509819
Lotus,2G,0,4 (0),0 (0),4 (3),12 (4),509819
Ascent,C9,4,4 (4),1 (0),10 (9),19 (13),509819
Ascent,2G,0,8 (0),1 (0),8 (3),17 (5),509819
Lotus,MIBR,1,2 (1),2 (0),7 (6),17 (6),509820
Lotus,NRG,1,3 (1),1 (0),9 (5),15 (9),509820
Bind,MIBR,1,3 (1),1 (0),3 (3),16 (6),509820
Bind,NRG,1,3 (1),0 (0),4 (4),16 (8),509820
All Maps,MIBR,2,5 (2),3 (0),10 (9),33 (12),509820
All Maps,NRG,2,6 (2),1 (0),13 (9),31 (17),509820
Lotus,SEN,1,3 (1),0 (0),4 (2),14 (10),509821
Lotus,EG,1,3 (1),3 (1),4 (2),11 (4),509821
Corrode,SEN,1,3 (2),0 (0),2 (1),12 (10),509821
Corrode,EG,1,4 (1),1 (0),6 (1),6 (2),509821
All Maps,SEN,2,6 (3),0 (0),6 (3),26 (20),509821
All Maps,EG,2,7 (2),4 (1),10 (3),17 (6),509821
Bind,LEV,1,3 (1),3 (0),4 (2),9 (3),509822
Bind,KRÜ,1,3 (1),1 (0),2 (2),13 (10),509822
Haven,LEV,2,2 (2),1 (0),7 (3),13 (8),509822
Haven,KRÜ,0,3 (0),2 (0),5 (2),13 (8),509822
All Maps,LEV,2,2 (2),0 (0),5 (4),10 (7),509822
All Maps,KRÜ,0,4 (0),1 (0),5 (2),7 (2),509822
Corrode,FUR,0,3 (0),0 (0),7 (1),5 (1),509823
Corrode,G2,2,2 (2),0 (0),4 (3),9 (8),509823
Ascent,FUR,1,4 (1),0 (0),5 (2),9 (2),509823
Ascent,G2,1,3 (2),0 (0),2 (2),13 (9),509823
Icebox,FUR,1,7 (1),0 (0),12 (3),14 (3),509823
Icebox,G2,3,5 (4),0 (0),6 (5),22 (17),509823
Sunset,LOUD,2,2 (2),0 (0),4 (4),9 (7),509824
Sunset,100T,0,3 (0),2 (0),7 (1),3 (1),509824
Bind,LOUD,0,4 (0),1 (0),4 (2),11 (5),509824
Bind,100T,2,2 (2),1 (0),3 (2),14 (9),509824
Ascent,LOUD,1,4 (2),1 (0),4 (1),17 (9),509824
Ascent,100T,1,3 (1),2 (0),2 (1),19 (12),509824
All Maps,LOUD,3,10 (4),2 (0),12 (7),37 (21),509824
All Maps,100T,3,8 (3),5 (0),12 (4),36 (22),509824
Sunset,KRÜ,1,3 (1),0 (0),4 (3),12 (9),509825
Sunset,NRG,1,3 (1),1 (0),8 (4),7 (1),509825
Lotus,KRÜ,0,4 (0),1 (0),4 (2),11 (5),509825
Lotus,NRG,2,2 (2),0 (0),10 (5),8 (6),509825
All Maps,KRÜ,0,3 (0),3 (1),3 (1),9 (3),509825
All Maps,NRG,2,3 (3),0 (0),6 (4),9 (6),509825
Haven,100T,1,3 (1),2 (0),3 (2),15 (10),509826
Haven,LEV,1,3 (1),2 (1),6 (2),12 (6),509826
Sunset,100T,1,3 (1),1 (1),6 (2),13 (6),509826
Sunset,LEV,1,3 (1),2 (1),3 (1),15 (10),509826
All Maps,100T,0,3 (0),1 (0),4 (0),7 (2),509826
All Maps,LEV,2,2 (2),0 (0),4 (3),9 (8),509826
Corrode,FUR,1,3 (1),1 (0),5 (1),10 (4),509827
Corrode,EG,1,3 (2),1 (0),2 (1),13 (10),509827
Ascent,FUR,2,2 (2),2 (0),9 (4),9 (3),509827
Ascent,EG,0,4 (0),1 (0),0 (0),17 (13),509827
