map_name,times_played,attack_win_percent,defense_win_percent
Lotus,10,56%,44%
Ascent,8,57%,43%
Breeze,8,49%,51%
Icebox,7,57%,43%
Split,5,52%,48%
Bind,4,49%,51%
Sunset,4,41%,59%
