map_name,times_played,attack_win_percent,defense_win_percent
Lotus,20,55%,45%
Bind,15,54%,46%
Sunset,14,53%,47%
Abyss,12,51%,49%
Icebox,12,52%,48%
Haven,9,48%,52%
Ascent,4,47%,53%
