map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Sunset,PRX,1,3 (1),0 (0),7 (3),14 (9),378676
Bind,FUT,0,4 (0),2 (0),3 (1),10 (5),378676
Bind,PRX,2,2 (2),1 (0),5 (3),11 (8),378676
All Maps,FUT,1,7 (1),3 (1),8 (3),25 (12),378676
All Maps,PRX,3,5 (3),1 (0),12 (6),25 (17),378676
Lotus,GEN,0,3 (0),2 (1),6 (2),11 (6),378666
Lotus,SEN,2,2 (2),2 (0),8 (7),10 (4),378666
Icebox,GEN,0,4 (0),0 (0),4 (0),11 (6),378666
Icebox,SEN,2,2 (2),1 (1),5 (4),11 (6),378666
ascent,GEN,0,7 (0),2 (1),10 (2),22 (12),378666
ascent,SEN,4,4 (4),3 (1),13 (11),21 (10),378666
Sunset,FNC,0,4 (0),1 (0),4 (2),15 (9),378660
Sunset,KRÜ,2,2 (2),2 (0),7 (6),13 (5),378660
Haven,FNC,2,2 (2),0 (0),6 (4),14 (7),378660
Haven,KRÜ,0,4 (0),1 (0),1 (1),16 (8),378660
All Maps,FNC,2,2 (2),0 (0),5 (4),11 (7),378660
All Maps,KRÜ,0,4 (0),2 (1),5 (1),7 (3),378660
Icebox,LEV,1,3 (1),3 (0),4 (3),16 (10),378672
Icebox,VIT,1,3 (1),2 (2),6 (5),15 (4),378672
Sunset,LEV,1,3 (1),0 (0),4 (4),10 (8),378672
Sunset,VIT,1,3 (1),1 (0),10 (2),3 (1),378672
kekw,LEV,2,6 (2),3 (0),8 (7),26 (18),378672
kekw,VIT,2,6 (2),3 (2),16 (7),18 (5),378672
Icebox,EDG,0,4 (0),1 (1),4 (0),7 (2),378677
Icebox,PRX,2,2 (2),0 (0),5 (5),9 (6),378677
Sunset,EDG,1,3 (1),0 (0),3 (3),15 (9),378677
Sunset,PRX,1,3 (1),2 (0),6 (3),10 (4),378677
All Maps,EDG,2,2 (2),0 (0),3 (2),12 (9),378677
All Maps,PRX,0,4 (0),1 (0),3 (0),9 (4),378677
Sunset,DRX,1,3 (1),2 (0),5 (2),18 (10),378822
Sunset,SEN,1,3 (1),1 (0),6 (2),18 (12),378822
Haven,DRX,1,2 (1),4 (0),4 (2),11 (5),378822
Haven,SEN,1,3 (1),1 (1),4 (2),13 (9),378822
rate,DRX,2,5 (2),6 (0),9 (4),29 (15),378822
rate,SEN,2,6 (2),2 (1),10 (4),31 (21),378822
Bind,TE,1,3 (1),1 (0),4 (2),12 (4),378823
Bind,EDG,1,3 (1),1 (0),2 (1),14 (11),378823
Sunset,TE,1,3 (1),2 (0),3 (2),15 (7),378823
Sunset,EDG,1,3 (1),3 (1),3 (1),14 (10),378823
Abyss,TE,2,6 (2),3 (0),7 (4),27 (11),378823
Abyss,EDG,2,6 (2),4 (1),5 (2),28 (21),378823
Icebox,G2,1,3 (1),3 (2),7 (3),17 (8),378824
Icebox,LEV,1,3 (1),0 (0),6 (3),21 (12),378824
Abyss,G2,0,4 (0),1 (0),6 (1),7 (4),378824
Abyss,LEV,2,2 (2),1 (1),3 (3),12 (7),378824
All Maps,G2,1,7 (1),4 (2),13 (4),24 (12),378824
All Maps,LEV,3,5 (3),1 (1),9 (6),33 (19),378824
Lotus,TH,2,2 (2),0 (0),4 (4),10 (7),378825
Lotus,FNC,0,4 (0),0 (0),3 (1),9 (2),378825
Abyss,TH,1,3 (1),1 (0),6 (4),16 (9),378825
Abyss,FNC,1,3 (1),2 (1),5 (3),16 (7),378825
lotus,TH,3,5 (3),1 (0),10 (8),26 (16),378825
lotus,FNC,1,7 (1),2 (1),8 (4),25 (9),378825
Lotus,DRX,2,2 (2),1 (1),4 (2),9 (8),378831
Lotus,TE,0,5 (0),1 (0),6 (3),4 (0),378831
Abyss,DRX,2,2 (2),1 (0),5 (4),10 (7),378831
Abyss,TE,0,4 (0),0 (0),5 (3),9 (2),378831
All Maps,DRX,4,4 (4),2 (1),9 (6),19 (15),378831
All Maps,TE,0,9 (0),1 (0),11 (6),13 (2),378831
Haven,G2,0,4 (0),1 (0),6 (2),5 (1),378832
Haven,FNC,2,2 (2),0 (0),4 (4),10 (7),378832
Bind,G2,2,3 (2),2 (0),5 (2),14 (7),378832
Bind,FNC,0,4 (1),0 (0),6 (2),14 (10),378832
All Maps,G2,2,7 (2),3 (0),11 (4),19 (8),378832
All Maps,FNC,2,6 (3),0 (0),10 (6),24 (17),378832
Haven,SEN,0,4 (1),1 (0),1 (0),16 (12),378826
Haven,EDG,2,3 (2),1 (0),8 (2),10 (5),378826
Lotus,SEN,1,3 (1),1 (0),8 (4),10 (4),378826
Lotus,EDG,1,3 (1),0 (0),7 (5),12 (7),378826
Icebox,SEN,0,3 (0),2 (1),6 (2),8 (3),378826
Icebox,EDG,2,2 (2),2 (1),5 (4),10 (6),378826
Sunset,SEN,1,10 (2),4 (1),15 (6),34 (19),378826
Sunset,EDG,5,8 (5),3 (1),20 (11),32 (18),378826
Icebox,LEV,1,3 (1),2 (0),7 (4),16 (10),378827
Icebox,TH,1,3 (1),3 (1),3 (1),19 (10),378827
Lotus,LEV,1,3 (1),2 (1),5 (3),13 (8),378827
Lotus,TH,1,3 (1),1 (0),6 (3),13 (6),378827
All Maps,LEV,2,6 (2),4 (1),12 (7),29 (18),378827
All Maps,TH,2,6 (2),4 (1),9 (4),32 (16),378827
Sunset,SEN,1,3 (1),1 (0),8 (4),12 (8),378834
Sunset,FNC,1,3 (1),1 (1),11 (5),9 (4),378834
Bind,SEN,0,4 (0),1 (0),4 (2),13 (7),378834
Bind,FNC,2,2 (2),1 (0),8 (4),11 (7),378834
All Maps,SEN,1,3 (1),0 (0),3 (3),13 (9),378834
All Maps,FNC,1,3 (1),2 (0),8 (4),6 (1),378834
Abyss,TH,0,4 (0),1 (0),7 (5),6 (0),378833
Abyss,DRX,2,2 (2),2 (0),4 (3),10 (8),378833
Sunset,TH,2,2 (2),1 (0),3 (3),12 (8),378833
Sunset,DRX,0,5 (0),2 (1),2 (1),9 (3),378833
All Maps,TH,1,3 (1),1 (0),6 (3),13 (9),378833
All Maps,DRX,1,3 (1),3 (1),3 (1),14 (7),378833
