map_name,times_played,attack_win_percent,defense_win_percent
Lotus,16,53%,47%
Icebox,16,52%,48%
Ascent,12,50%,50%
Bind,10,50%,50%
Sunset,10,56%,44%
Haven,9,50%,50%
Split,6,48%,52%
Abyss,3,44%,56%
