map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Ascent,MIBR,2,2 (2),1 (1),6 (2),13 (4),353177
Ascent,LEV,0,5 (0),1 (1),1 (0),15 (12),353177
Icebox,MIBR,1,4 (1),1 (0),7 (3),8 (3),353177
Icebox,LEV,1,3 (2),1 (0),3 (2),13 (9),353177
All Maps,MIBR,3,6 (3),2 (1),13 (5),21 (7),353177
All Maps,LEV,1,8 (2),2 (1),4 (2),28 (21),353177
Lotus,SEN,0,4 (0),1 (1),5 (3),11 (9),353178
Lotus,NRG,2,2 (2),2 (0),7 (2),10 (4),353178
Sunset,SEN,2,2 (2),0 (0),12 (5),12 (7),353178
Sunset,NRG,0,3 (0),2 (0),6 (3),15 (9),353178
All Maps,SEN,2,6 (2),1 (1),17 (8),23 (16),353178
All Maps,NRG,2,5 (2),4 (0),13 (5),25 (13),353178
Icebox,FUR,0,4 (0),1 (0),3 (2),18 (12),353179
Icebox,100T,2,2 (2),2 (0),8 (5),14 (5),353179
Haven,FUR,1,3 (1),1 (0),4 (3),22 (12),353179
Haven,100T,1,3 (1),2 (0),3 (2),22 (11),353179
All Maps,FUR,1,7 (1),2 (0),7 (5),40 (24),353179
All Maps,100T,3,5 (3),4 (0),11 (7),36 (16),353179
Lotus,LOUD,2,2 (2),0 (0),7 (5),11 (6),353180
Lotus,EG,0,3 (0),4 (0),4 (1),9 (6),353180
Sunset,LOUD,0,4 (0),0 (0),5 (2),10 (4),353180
Sunset,EG,2,2 (2),0 (0),6 (3),11 (8),353180
All Maps,LOUD,1,3 (1),0 (0),5 (3),16 (7),353180
All Maps,EG,1,3 (1),2 (1),5 (1),14 (10),353180
Ascent,G2,2,2 (2),1 (0),7 (4),14 (7),353181
Ascent,C9,0,4 (0),0 (0),5 (2),15 (9),353181
Icebox,G2,1,3 (1),2 (0),7 (3),6 (1),353181
Icebox,C9,1,3 (1),0 (0),5 (5),10 (7),353181
All Maps,G2,2,2 (2),2 (0),6 (5),11 (6),353181
All Maps,C9,0,4 (0),1 (0),4 (1),12 (7),353181
Bind,EG,1,3 (2),1 (0),2 (1),12 (10),353182
Bind,FUR,1,3 (1),2 (0),10 (3),3 (1),353182
Lotus,EG,1,3 (2),0 (0),3 (3),11 (8),353182
Lotus,FUR,1,3 (1),1 (0),8 (3),5 (0),353182
All Maps,EG,2,6 (4),1 (0),5 (4),23 (18),353182
All Maps,FUR,2,6 (2),3 (0),18 (6),8 (1),353182
Lotus,SEN,1,3 (1),0 (0),10 (5),11 (7),353183
Lotus,KRÜ,1,2 (1),2 (0),5 (2),15 (8),353183
Split,SEN,0,4 (0),1 (0),5 (4),13 (9),353183
Split,KRÜ,2,2 (2),0 (0),7 (3),14 (5),353183
All Maps,SEN,1,7 (1),1 (0),15 (9),24 (16),353183
All Maps,KRÜ,3,4 (3),2 (0),12 (5),29 (13),353183
Ascent,LOUD,2,2 (2),0 (0),7 (5),11 (6),353184
Ascent,MIBR,0,4 (0),1 (0),5 (1),10 (6),353184
Lotus,LOUD,2,2 (2),2 (0),8 (4),12 (5),353184
Lotus,MIBR,0,5 (1),0 (0),4 (3),15 (9),353184
All Maps,LOUD,2,2 (2),2 (0),5 (3),13 (8),353184
All Maps,MIBR,0,4 (1),0 (0),4 (2),14 (6),353184
Bind,LEV,1,3 (1),1 (1),6 (3),13 (8),353185
Bind,100T,1,3 (2),2 (1),3 (2),15 (5),353185
Haven,LEV,2,3 (2),0 (0),3 (2),11 (9),353185
Haven,100T,0,3 (0),1 (0),7 (3),6 (1),353185
All Maps,LEV,3,6 (3),1 (1),9 (5),24 (17),353185
All Maps,100T,1,6 (2),3 (1),10 (5),21 (6),353185
Haven,NRG,1,3 (1),2 (0),6 (1),9 (5),353186
Haven,G2,1,3 (1),1 (1),2 (2),14 (9),353186
Bind,NRG,1,3 (1),1 (0),6 (4),11 (3),353186
Bind,G2,1,3 (1),1 (1),4 (3),13 (8),353186
All Maps,NRG,2,6 (2),3 (0),12 (5),20 (8),353186
All Maps,G2,2,6 (2),2 (2),6 (5),27 (17),353186
Haven,SEN,1,3 (2),0 (0),3 (3),12 (8),353187
Haven,C9,1,4 (1),0 (0),4 (0),10 (4),353187
Split,SEN,0,4 (0),0 (0),2 (2),15 (11),353187
Split,C9,2,2 (2),2 (0),10 (5),7 (1),353187
All Maps,SEN,1,7 (2),0 (0),5 (5),27 (19),353187
All Maps,C9,3,6 (3),2 (0),14 (5),17 (5),353187
Icebox,EG,0,4 (0),2 (0),4 (1),8 (4),353188
Icebox,LEV,2,2 (2),0 (0),6 (4),10 (7),353188
Sunset,EG,0,4 (0),2 (1),4 (2),13 (7),353188
Sunset,LEV,2,2 (2),1 (0),6 (3),14 (8),353188
All Maps,EG,0,8 (0),4 (1),8 (3),21 (11),353188
All Maps,LEV,4,4 (4),1 (0),12 (7),24 (15),353188
Haven,LOUD,2,2 (2),3 (0),5 (1),14 (10),353189
Haven,FUR,0,4 (1),1 (0),3 (0),16 (10),353189
Icebox,LOUD,1,3 (1),3 (3),5 (2),12 (4),353189
Icebox,FUR,1,3 (1),2 (0),5 (4),13 (8),353189
All Maps,LOUD,1,3 (2),0 (0),6 (2),13 (5),353189
All Maps,FUR,1,3 (1),3 (2),2 (0),14 (10),353189
Icebox,MIBR,1,3 (1),1 (0),8 (4),6 (0),353190
Icebox,100T,1,3 (1),0 (0),3 (3),12 (9),353190
Split,MIBR,1,3 (1),1 (0),7 (2),8 (3),353190
Split,100T,1,3 (1),0 (0),3 (2),13 (10),353190
All Maps,MIBR,2,6 (2),2 (0),15 (6),14 (3),353190
All Maps,100T,2,6 (2),0 (0),6 (5),25 (19),353190
Split,NRG,1,3 (1),2 (0),5 (2),11 (5),353191
Split,KRÜ,1,3 (1),1 (1),5 (3),12 (8),353191
Ascent,NRG,1,3 (2),1 (0),4 (3),13 (8),353191
Ascent,KRÜ,1,3 (1),1 (0),6 (3),11 (4),353191
All Maps,NRG,2,2 (2),2 (1),5 (4),11 (6),353191
All Maps,KRÜ,0,4 (0),1 (0),3 (1),12 (6),353191
Lotus,G2,1,4 (1),2 (0),7 (2),4 (1),353192
Lotus,KRÜ,1,2 (1),1 (1),2 (1),12 (10),353192
Ascent,G2,1,3 (1),4 (1),4 (3),19 (11),353192
Ascent,KRÜ,1,3 (1),1 (1),6 (4),20 (8),353192
All Maps,G2,1,3 (1),0 (0),4 (3),11 (9),353192
All Maps,KRÜ,1,3 (1),1 (0),5 (1),9 (3),353192
Lotus,LOUD,0,4 (0),2 (1),6 (1),12 (9),353193
Lotus,LEV,2,2 (2),1 (0),5 (3),16 (8),353193
Icebox,LOUD,0,4 (0),2 (0),4 (0),9 (6),353193
Icebox,LEV,2,2 (2),1 (0),4 (3),12 (8),353193
All Maps,LOUD,0,8 (0),4 (1),10 (1),21 (15),353193
All Maps,LEV,4,4 (4),2 (0),9 (6),28 (16),353193
Sunset,MIBR,1,4 (1),2 (1),4 (1),13 (7),353194
Sunset,FUR,1,3 (1),0 (0),8 (5),12 (7),353194
Icebox,MIBR,1,3 (1),1 (0),7 (2),9 (4),353194
Icebox,FUR,1,3 (1),1 (0),4 (2),12 (10),353194
All Maps,MIBR,2,7 (2),3 (1),11 (3),22 (11),353194
All Maps,FUR,2,6 (2),1 (0),12 (7),24 (17),353194
Ascent,NRG,2,2 (2),0 (0),4 (4),10 (7),353195
Ascent,C9,0,4 (0),1 (0),2 (1),9 (2),353195
Icebox,NRG,0,4 (0),2 (0),1 (1),16 (9),353195
Icebox,C9,2,2 (2),0 (0),10 (4),11 (7),353195
All Maps,NRG,1,3 (1),0 (0),3 (2),20 (9),353195
All Maps,C9,1,3 (1),0 (0),10 (4),13 (9),353195
Lotus,EG,1,4 (1),1 (0),5 (2),13 (7),353196
Lotus,100T,1,4 (1),1 (0),3 (2),15 (10),353196
Bind,EG,1,3 (1),3 (1),1 (1),16 (10),353196
Bind,100T,1,3 (1),0 (0),6 (5),14 (4),353196
but,EG,1,4 (2),1 (0),9 (2),6 (3),353196
