match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
506951,Wolves Esports vs Dragon Ranger Gaming,VCT 2025: China Stage 2,2025-07-27 05:00:00,Bo3,Wolves Esports vs Dragon Ranger Gaming,2 - 1,3,,DRG ban Bind; WOL ban Sunset; DRG pick Lotus; WOL pick Icebox; DRG ban Haven; WOL ban Corrode; Ascent remains
506952,Xi Lai Gaming vs FunPlus Phoenix,VCT 2025: China Stage 2,2025-07-27 08:35:00,Bo3,Xi Lai Gaming vs FunPlus Phoenix,2 - 0,2,,XLG ban Corrode; FPX ban Lotus; XLG pick Haven; FPX pick Sunset; XLG ban Icebox; FPX ban Bind; Ascent remains
506953,Nova Esports vs Xi Lai Gaming,VCT 2025: China Stage 2,2025-07-31 05:00:00,Bo3,Nova Esports vs Xi Lai Gaming,0 - 2,2,,XLG ban Corrode; NOVA ban Lotus; XLG pick Sunset; NOVA pick Haven; XLG ban Icebox; NOVA ban Ascent; Bind remains
506954,EDward Gaming vs JD Mall JDG Esports(JDG Esports),VCT 2025: China Stage 2,2025-07-31 07:00:00,Bo3,EDward Gaming vs JD Mall JDG Esports(JDG Esports),2 - 1,3,,EDG ban Icebox; JDG ban Bind; EDG pick Corrode; JDG pick Lotus; EDG ban Ascent; JDG ban Sunset; Haven remains
506955,All Gamers vs FunPlus Phoenix,VCT 2025: China Stage 2,2025-08-01 05:00:00,Bo3,All Gamers vs FunPlus Phoenix,2 - 0,2,,AG ban Ascent; FPX ban Lotus; AG pick Icebox; FPX pick Bind; AG ban Haven; FPX ban Corrode; Sunset remains
506956,Trace Esports vs Titan Esports Club,VCT 2025: China Stage 2,2025-08-01 07:40:00,Bo3,Trace Esports vs Titan Esports Club,0 - 2,2,,TE ban Corrode; TEC ban Icebox; TE pick Sunset; TEC pick Haven; TE ban Bind; TEC ban Ascent; Lotus remains
506957,Nova Esports vs Wolves Esports,VCT 2025: China Stage 2,2025-08-02 05:00:00,Bo3,Nova Esports vs Wolves Esports,2 - 1,3,,NOVA ban Lotus; WOL ban Sunset; NOVA pick Haven; WOL pick Corrode; NOVA ban Ascent; WOL ban Icebox; Bind remains
506958,Dragon Ranger Gaming vs Xi Lai Gaming,VCT 2025: China Stage 2,2025-08-02 08:20:00,Bo3,Dragon Ranger Gaming vs Xi Lai Gaming,2 - 1,3,,DRG ban Bind; XLG ban Corrode; DRG pick Ascent; XLG pick Haven; DRG ban Sunset; XLG ban Icebox; Lotus remains
506959,TYLOO vs JD Mall JDG Esports(JDG Esports),VCT 2025: China Stage 2,2025-08-03 05:00:00,Bo3,TYLOO vs JD Mall JDG Esports(JDG Esports),2 - 1,3,,TYL ban Sunset; JDG ban Bind; TYL pick Haven; JDG pick Ascent; TYL ban Lotus; JDG ban Icebox; Corrode remains
506960,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs EDward Gaming,VCT 2025: China Stage 2,2025-08-03 08:00:00,Bo3,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs EDward Gaming,2 - 0,2,,BLG ban Ascent; EDG ban Icebox; BLG pick Lotus; EDG pick Sunset; BLG ban Bind; EDG ban Corrode; Haven remains
527577,All Gamers vs TYLOO,VCT 2025: China Stage 2,2025-08-09 05:00:00,Bo3,All Gamers vs TYLOO,0 - 2,2,,AG ban Ascent; TYL ban Sunset; AG pick Lotus; TYL pick Icebox; AG ban Corrode; TYL ban Bind; Haven remains
527576,EDward Gaming vs Dragon Ranger Gaming,VCT 2025: China Stage 2,2025-08-09 07:20:00,Bo3,EDward Gaming vs Dragon Ranger Gaming,0 - 2,2,,DRG ban Haven; EDG ban Icebox; DRG pick Lotus; EDG pick Corrode; DRG ban Sunset; EDG ban Bind; Ascent remains
527584,All Gamers vs FunPlus Phoenix,VCT 2025: China Stage 2,2025-08-10 05:00:00,Bo3,All Gamers vs FunPlus Phoenix,2 - 1,3,,AG ban Ascent; FPX ban Lotus; AG pick Sunset; FPX pick Haven; AG ban Corrode; FPX ban Bind; Icebox remains
527583,EDward Gaming vs Trace Esports,VCT 2025: China Stage 2,2025-08-10 08:15:00,Bo3,EDward Gaming vs Trace Esports,2 - 1,3,,TE ban Corrode; EDG ban Icebox; TE pick Lotus; EDG pick Sunset; TE ban Haven; EDG ban Bind; Ascent remains
527580,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs TYLOO,VCT 2025: China Stage 2,2025-08-20 05:00:00,Bo3,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs TYLOO,2 - 1,3,,BLG ban Corrode; TYL ban Sunset; BLG pick Bind; TYL pick Icebox; BLG ban Ascent; TYL ban Haven; Lotus remains
527579,Xi Lai Gaming vs Dragon Ranger Gaming,VCT 2025: China Stage 2,2025-08-20 08:20:00,Bo3,Xi Lai Gaming vs Dragon Ranger Gaming,1 - 2,3,,DRG ban Haven; XLG ban Ascent; DRG pick Lotus; XLG pick Bind; DRG ban Icebox; XLG ban Corrode; Sunset remains
527585,TYLOO vs EDward Gaming,VCT 2025: China Stage 2,2025-08-21 05:00:00,Bo3,TYLOO vs EDward Gaming,0 - 2,2,,TYL ban Sunset; EDG ban Icebox; TYL pick Haven; EDG pick Ascent; TYL ban Corrode; EDG ban Bind; Lotus remains
527586,Xi Lai Gaming vs All Gamers,VCT 2025: China Stage 2,2025-08-21 07:10:00,Bo3,Xi Lai Gaming vs All Gamers,2 - 1,3,,XLG ban Corrode; AG ban Haven; XLG pick Ascent; AG pick Icebox; XLG ban Sunset; AG ban Bind; Lotus remains
536176,Pure Aim vs Precise Defeat,VCT 2025: China Stage 2,2025-08-22 04:00:00,Bo1,Pure Aim vs Precise Defeat,0 - 1,1,,
527581,Dragon Ranger Gaming vs Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),VCT 2025: China Stage 2,2025-08-22 05:00:00,Bo3,Dragon Ranger Gaming vs Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),2 - 1,3,,BLG ban Corrode; DRG ban Bind; BLG pick Haven; DRG pick Lotus; BLG ban Ascent; DRG ban Icebox; Sunset remains
527587,EDward Gaming vs Xi Lai Gaming,VCT 2025: China Stage 2,2025-08-22 08:40:00,Bo3,EDward Gaming vs Xi Lai Gaming,2 - 0,2,,XLG ban Sunset; EDG ban Icebox; XLG pick Lotus; EDG pick Corrode; XLG ban Ascent; EDG ban Haven; Bind remains
527588,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs EDward Gaming,VCT 2025: China Stage 2,2025-08-23 05:00:00,Bo5,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs EDward Gaming,3 - 1,4,,BLG ban Corrode; EDG ban Icebox; BLG pick Bind; EDG pick Haven; BLG pick Lotus; EDG pick Ascent; Sunset remains
527582,Dragon Ranger Gaming vs Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),VCT 2025: China Stage 2,2025-08-24 05:00:00,Bo5,Dragon Ranger Gaming vs Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),1 - 3,4,,DRG ban Bind; DRG ban Icebox; DRG pick Sunset; BLG pick Haven; DRG pick Corrode; BLG pick Lotus; Ascent remains
