map_name,times_played,attack_win_percent,defense_win_percent
Sunset,11,48%,52%
Lotus,9,57%,43%
Split,8,51%,49%
Bind,6,59%,41%
Breeze,5,48%,52%
Icebox,4,52%,48%
Ascent,3,62%,38%
