match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info,tournament_name
295605,NRG vs FURIA,Champions Tour 2024: Americas Kickoff,2024-02-16 17:00:00,Bo3,NRG vs FURIA,2 - 0,2,Patch 8.02,FUR ban Sunset; NRG ban Bind; FUR pick Breeze; NRG pick Ascent; FUR ban Lotus; NRG ban Icebox; Split remains,Champions Tour 2024 Americas Kickoff_csvs
295606,Cloud9 vs MIBR,Champions Tour 2024: Americas Kickoff,2024-02-16 20:00:00,Bo3,Cloud9 vs MIBR,2 - 1,3,Patch 8.02,C9 ban Ascent; MIBR ban Icebox; C9 pick Bind; MIBR pick Split; C9 ban Breeze; MIBR ban Sunset; Lotus remains,Champions Tour 2024 Americas Kickoff_csvs
295610,LOUD vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-02-17 17:00:00,Bo3,LOUD vs Sentinels,2 - 0,2,Patch 8.02,SEN ban Icebox; LOUD ban Breeze; SEN pick Split; LOUD pick Ascent; SEN ban Lotus; LOUD ban Bind; Sunset remains,Champions Tour 2024 Americas Kickoff_csvs
295611,LEVIATÁN vs 100 Thieves,Champions Tour 2024: Americas Kickoff,2024-02-17 19:35:00,Bo3,LEVIATÁN vs 100 Thieves,2 - 1,3,Patch 8.02,100T ban Breeze; LEV ban Lotus; 100T pick Bind; LEV pick Split; 100T ban Sunset; LEV ban Ascent; Icebox remains,Champions Tour 2024 Americas Kickoff_csvs
295615,KRÜ Esports vs G2 Esports,Champions Tour 2024: Americas Kickoff,2024-02-18 17:00:00,Bo3,KRÜ Esports vs G2 Esports,1 - 2,3,Patch 8.02,G2 ban Lotus; KRÜ ban Bind; G2 pick Icebox; KRÜ pick Sunset; G2 ban Split; KRÜ ban Breeze; Ascent remains,Champions Tour 2024 Americas Kickoff_csvs
295608,FURIA vs MIBR,Champions Tour 2024: Americas Kickoff,2024-02-19 17:00:00,Bo3,FURIA vs MIBR,0 - 2,2,Patch 8.02,MIBR ban Icebox; FUR ban Ascent; MIBR pick Split; FUR pick Breeze; MIBR ban Bind; FUR ban Sunset; Lotus remains,Champions Tour 2024 Americas Kickoff_csvs
295613,Sentinels vs 100 Thieves,Champions Tour 2024: Americas Kickoff,2024-02-19 19:45:00,Bo3,Sentinels vs 100 Thieves,2 - 1,3,Patch 8.02,100T ban Sunset; SEN ban Icebox; 100T pick Lotus; SEN pick Bind; 100T ban Breeze; SEN ban Ascent; Split remains,Champions Tour 2024 Americas Kickoff_csvs
295607,NRG vs Cloud9,Champions Tour 2024: Americas Kickoff,2024-02-23 17:00:00,Bo3,NRG vs Cloud9,2 - 0,2,Patch 8.03,C9 ban Split; NRG ban Bind; C9 pick Sunset; NRG pick Ascent; C9 ban Breeze; NRG ban Icebox; Lotus remains,Champions Tour 2024 Americas Kickoff_csvs
295612,LOUD vs LEVIATÁN,Champions Tour 2024: Americas Kickoff,2024-02-23 19:25:00,Bo3,LOUD vs LEVIATÁN,2 - 1,3,Patch 8.03,LEV ban Sunset; LOUD ban Breeze; LEV pick Bind; LOUD pick Split; LEV ban Lotus; LOUD ban Icebox; Ascent remains,Champions Tour 2024 Americas Kickoff_csvs
295617,G2 Esports vs Evil Geniuses,Champions Tour 2024: Americas Kickoff,2024-02-24 17:00:00,Bo3,G2 Esports vs Evil Geniuses,0 - 2,2,Patch 8.03,G2 ban Lotus; EG ban Bind; G2 pick Sunset; EG pick Icebox; G2 ban Breeze; EG ban Ascent; Split remains,Champions Tour 2024 Americas Kickoff_csvs
295609,Cloud9 vs MIBR,Champions Tour 2024: Americas Kickoff,2024-02-25 15:00:00,Bo3,Cloud9 vs MIBR,0 - 2,2,Patch 8.03,C9 ban Split; MIBR ban Icebox; C9 pick Bind; MIBR pick Ascent; C9 ban Breeze; MIBR ban Lotus; Sunset remains,Champions Tour 2024 Americas Kickoff_csvs
