agent_name,total_utilization,map_utilizations,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture,Icebox,Ascent,Corrode,Sunset,tournament_name
Tejo,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Vyse,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Waylay,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Viper,81.0,"{'Icebox': 100.0, 'Lotus': 97.0, 'Bind': 100.0, 'Sunset': 25.0, 'Ascent': 15.0, 'Breeze': 100.0, 'Split': 100.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Raze,57.0,"{'Icebox': 0.0, 'Lotus': 100.0, 'Bind': 97.0, 'Sunset': 92.0, 'Ascent': 5.0, 'Breeze': 0.0, 'Split': 100.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Omen,51.0,"{'Icebox': 8.0, 'Lotus': 97.0, 'Bind': 0.0, 'Sunset': 100.0, 'Ascent': 100.0, 'Breeze': 0.0, 'Split': 70.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Killjoy,44.0,"{'Icebox': 100.0, 'Lotus': 76.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 85.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Sova,37.0,"{'Icebox': 68.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 21.0, 'Ascent': 90.0, 'Breeze': 100.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Gekko,37.0,"{'Icebox': 61.0, 'Lotus': 15.0, 'Bind': 70.0, 'Sunset': 58.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 25.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Jett,34.0,"{'Icebox': 61.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 95.0, 'Breeze': 85.0, 'Split': 25.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Cypher,32.0,"{'Icebox': 0.0, 'Lotus': 18.0, 'Bind': 13.0, 'Sunset': 96.0, 'Ascent': 5.0, 'Breeze': 95.0, 'Split': 35.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Kayo,28.0,"{'Icebox': 32.0, 'Lotus': 0.0, 'Bind': 20.0, 'Sunset': 17.0, 'Ascent': 95.0, 'Breeze': 60.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Fade,24.0,"{'Icebox': 0.0, 'Lotus': 79.0, 'Bind': 27.0, 'Sunset': 13.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 30.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Skye,21.0,"{'Icebox': 0.0, 'Lotus': 6.0, 'Bind': 60.0, 'Sunset': 21.0, 'Ascent': 5.0, 'Breeze': 0.0, 'Split': 65.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Brimstone,17.0,"{'Icebox': 0.0, 'Lotus': 3.0, 'Bind': 100.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
