agent_name,total_utilization,map_utilizations,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture,Icebox,Ascent,Corrode,Sunset,tournament_name
Tejo,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Vyse,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Waylay,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Viper,71.0,"{'Bind': 88.0, 'Ascent': 11.0, 'Breeze': 93.0, 'Lotus': 89.0, 'Icebox': 88.0, 'Sunset': 29.0, 'Split': 95.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Omen,57.0,"{'Bind': 12.0, 'Ascent': 100.0, 'Breeze': 4.0, 'Lotus': 100.0, 'Icebox': 19.0, 'Sunset': 100.0, 'Split': 90.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Raze,56.0,"{'Bind': 94.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 100.0, 'Icebox': 12.0, 'Sunset': 92.0, 'Split': 100.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Cypher,46.0,"{'Bind': 38.0, 'Ascent': 25.0, 'Breeze': 86.0, 'Lotus': 18.0, 'Icebox': 0.0, 'Sunset': 88.0, 'Split': 85.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Sova,44.0,"{'Bind': 0.0, 'Ascent': 89.0, 'Breeze': 100.0, 'Lotus': 7.0, 'Icebox': 42.0, 'Sunset': 67.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Jett,37.0,"{'Bind': 0.0, 'Ascent': 89.0, 'Breeze': 75.0, 'Lotus': 7.0, 'Icebox': 73.0, 'Sunset': 4.0, 'Split': 10.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Killjoy,32.0,"{'Bind': 0.0, 'Ascent': 75.0, 'Breeze': 0.0, 'Lotus': 61.0, 'Icebox': 81.0, 'Sunset': 4.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Kayo,26.0,"{'Bind': 12.0, 'Ascent': 68.0, 'Breeze': 39.0, 'Lotus': 0.0, 'Icebox': 50.0, 'Sunset': 8.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Skye,26.0,"{'Bind': 82.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 100.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Gekko,24.0,"{'Bind': 65.0, 'Ascent': 4.0, 'Breeze': 0.0, 'Lotus': 18.0, 'Icebox': 46.0, 'Sunset': 25.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Brimstone,16.0,"{'Bind': 88.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Breach,14.0,"{'Bind': 9.0, 'Ascent': 18.0, 'Breeze': 0.0, 'Lotus': 4.0, 'Icebox': 0.0, 'Sunset': 71.0, 'Split': 5.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Fade,14.0,"{'Bind': 3.0, 'Ascent': 11.0, 'Breeze': 0.0, 'Lotus': 71.0, 'Icebox': 0.0, 'Sunset': 8.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Yoru,12.0,"{'Bind': 9.0, 'Ascent': 11.0, 'Breeze': 61.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Harbor,12.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 25.0, 'Lotus': 0.0, 'Icebox': 58.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Astra,6.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 18.0, 'Lotus': 18.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 10.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Reyna,3.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 4.0, 'Icebox': 15.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Clove,2.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 12.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Sage,1.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 4.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 5.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Neon,1.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 4.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Chamber,1.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 4.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Iso,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Phoenix,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Deadlock,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Tejo,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Vyse,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Waylay,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 1_csvs
Omen,72.0,"{'Sunset': 97.0, 'Haven': 100.0, 'Icebox': 4.0, 'Lotus': 100.0, 'Ascent': 100.0, 'Bind': 10.0, 'Abyss': 100.0, 'Split': 83.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Jett,50.0,"{'Sunset': 12.0, 'Haven': 89.0, 'Icebox': 96.0, 'Lotus': 0.0, 'Ascent': 100.0, 'Bind': 25.0, 'Abyss': 33.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Viper,41.0,"{'Sunset': 12.0, 'Haven': 4.0, 'Icebox': 100.0, 'Lotus': 63.0, 'Ascent': 0.0, 'Bind': 55.0, 'Abyss': 67.0, 'Split': 83.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Sova,40.0,"{'Sunset': 53.0, 'Haven': 54.0, 'Icebox': 29.0, 'Lotus': 8.0, 'Ascent': 100.0, 'Bind': 10.0, 'Abyss': 33.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Cypher,40.0,"{'Sunset': 65.0, 'Haven': 71.0, 'Icebox': 0.0, 'Lotus': 17.0, 'Ascent': 20.0, 'Bind': 40.0, 'Abyss': 67.0, 'Split': 83.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Raze,37.0,"{'Sunset': 59.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 67.0, 'Ascent': 0.0, 'Bind': 90.0, 'Abyss': 33.0, 'Split': 100.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Kayo,36.0,"{'Sunset': 24.0, 'Haven': 25.0, 'Icebox': 89.0, 'Lotus': 0.0, 'Ascent': 95.0, 'Bind': 0.0, 'Abyss': 17.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Killjoy,35.0,"{'Sunset': 0.0, 'Haven': 29.0, 'Icebox': 100.0, 'Lotus': 46.0, 'Ascent': 55.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Breach,31.0,"{'Sunset': 47.0, 'Haven': 82.0, 'Icebox': 0.0, 'Lotus': 33.0, 'Ascent': 5.0, 'Bind': 15.0, 'Abyss': 0.0, 'Split': 17.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Gekko,25.0,"{'Sunset': 32.0, 'Haven': 18.0, 'Icebox': 43.0, 'Lotus': 17.0, 'Ascent': 0.0, 'Bind': 40.0, 'Abyss': 33.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Fade,20.0,"{'Sunset': 9.0, 'Haven': 14.0, 'Icebox': 0.0, 'Lotus': 75.0, 'Ascent': 0.0, 'Bind': 30.0, 'Abyss': 33.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Skye,13.0,"{'Sunset': 0.0, 'Haven': 4.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 70.0, 'Abyss': 17.0, 'Split': 83.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Neon,11.0,"{'Sunset': 24.0, 'Haven': 11.0, 'Icebox': 0.0, 'Lotus': 33.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Brimstone,11.0,"{'Sunset': 3.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 85.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Astra,9.0,"{'Sunset': 12.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 17.0, 'Ascent': 25.0, 'Bind': 5.0, 'Abyss': 0.0, 'Split': 17.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Chamber,7.0,"{'Sunset': 15.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 17.0, 'Ascent': 0.0, 'Bind': 10.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Yoru,7.0,"{'Sunset': 15.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 5.0, 'Abyss': 67.0, 'Split': 17.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Sage,5.0,"{'Sunset': 18.0, 'Haven': 0.0, 'Icebox': 7.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 17.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Deadlock,4.0,"{'Sunset': 0.0, 'Haven': 0.0, 'Icebox': 14.0, 'Lotus': 4.0, 'Ascent': 0.0, 'Bind': 10.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Clove,2.0,"{'Sunset': 0.0, 'Haven': 0.0, 'Icebox': 11.0, 'Lotus': 4.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Phoenix,1.0,"{'Sunset': 6.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Harbor,1.0,"{'Sunset': 0.0, 'Haven': 0.0, 'Icebox': 7.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Iso,0.0,"{'Sunset': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Reyna,0.0,"{'Sunset': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Tejo,0.0,"{'Sunset': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Vyse,0.0,"{'Sunset': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Waylay,0.0,"{'Sunset': 0.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Stage 2_csvs
Omen,74.0,"{'Sunset': 100.0, 'Lotus': 94.0, 'Split': 100.0, 'Bind': 33.0, 'Breeze': 30.0, 'Icebox': 13.0, 'Ascent': 83.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Viper,72.0,"{'Sunset': 55.0, 'Lotus': 78.0, 'Split': 56.0, 'Bind': 100.0, 'Breeze': 100.0, 'Icebox': 100.0, 'Ascent': 17.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Raze,67.0,"{'Sunset': 86.0, 'Lotus': 78.0, 'Split': 100.0, 'Bind': 83.0, 'Breeze': 0.0, 'Icebox': 25.0, 'Ascent': 17.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Cypher,42.0,"{'Sunset': 86.0, 'Lotus': 6.0, 'Split': 44.0, 'Bind': 0.0, 'Breeze': 100.0, 'Icebox': 0.0, 'Ascent': 33.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Killjoy,29.0,"{'Sunset': 0.0, 'Lotus': 94.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 88.0, 'Ascent': 50.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Fade,29.0,"{'Sunset': 41.0, 'Lotus': 39.0, 'Split': 44.0, 'Bind': 25.0, 'Breeze': 0.0, 'Icebox': 13.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Skye,28.0,"{'Sunset': 18.0, 'Lotus': 22.0, 'Split': 44.0, 'Bind': 67.0, 'Breeze': 20.0, 'Icebox': 0.0, 'Ascent': 17.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Breach,26.0,"{'Sunset': 41.0, 'Lotus': 22.0, 'Split': 56.0, 'Bind': 17.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Sova,25.0,"{'Sunset': 9.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 8.0, 'Breeze': 80.0, 'Icebox': 88.0, 'Ascent': 83.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Yoru,21.0,"{'Sunset': 9.0, 'Lotus': 6.0, 'Split': 25.0, 'Bind': 25.0, 'Breeze': 70.0, 'Icebox': 25.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Kayo,17.0,"{'Sunset': 9.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 33.0, 'Breeze': 40.0, 'Icebox': 13.0, 'Ascent': 83.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Gekko,16.0,"{'Sunset': 23.0, 'Lotus': 28.0, 'Split': 0.0, 'Bind': 33.0, 'Breeze': 0.0, 'Icebox': 13.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Jett,12.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 30.0, 'Icebox': 38.0, 'Ascent': 83.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Astra,9.0,"{'Sunset': 0.0, 'Lotus': 6.0, 'Split': 25.0, 'Bind': 8.0, 'Breeze': 20.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Brimstone,8.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 58.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Neon,7.0,"{'Sunset': 9.0, 'Lotus': 17.0, 'Split': 0.0, 'Bind': 8.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Sage,5.0,"{'Sunset': 9.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 38.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Phoenix,4.0,"{'Sunset': 0.0, 'Lotus': 11.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 10.0, 'Icebox': 13.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Chamber,3.0,"{'Sunset': 5.0, 'Lotus': 0.0, 'Split': 6.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 13.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Harbor,3.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 25.0, 'Ascent': 17.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Reyna,1.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 17.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Clove,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Tejo,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Deadlock,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Vyse,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Waylay,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Iso,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Kickoff_csvs
Viper,71.0,"{'Icebox': 100.0, 'Lotus': 57.0, 'Bind': 100.0, 'Split': 82.0, 'Sunset': 14.0, 'Breeze': 96.0, 'Ascent': 19.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Omen,61.0,"{'Icebox': 9.0, 'Lotus': 90.0, 'Bind': 46.0, 'Split': 96.0, 'Sunset': 100.0, 'Breeze': 8.0, 'Ascent': 100.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Raze,51.0,"{'Icebox': 12.0, 'Lotus': 80.0, 'Bind': 86.0, 'Split': 96.0, 'Sunset': 64.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Cypher,44.0,"{'Icebox': 0.0, 'Lotus': 47.0, 'Bind': 4.0, 'Split': 39.0, 'Sunset': 75.0, 'Breeze': 100.0, 'Ascent': 63.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Sova,41.0,"{'Icebox': 53.0, 'Lotus': 13.0, 'Bind': 11.0, 'Split': 0.0, 'Sunset': 36.0, 'Breeze': 100.0, 'Ascent': 100.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Kayo,38.0,"{'Icebox': 50.0, 'Lotus': 0.0, 'Bind': 32.0, 'Split': 0.0, 'Sunset': 75.0, 'Breeze': 54.0, 'Ascent': 75.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Gekko,31.0,"{'Icebox': 47.0, 'Lotus': 20.0, 'Bind': 71.0, 'Split': 0.0, 'Sunset': 61.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Killjoy,29.0,"{'Icebox': 88.0, 'Lotus': 53.0, 'Bind': 0.0, 'Split': 4.0, 'Sunset': 7.0, 'Breeze': 0.0, 'Ascent': 38.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Jett,23.0,"{'Icebox': 53.0, 'Lotus': 10.0, 'Bind': 0.0, 'Split': 4.0, 'Sunset': 0.0, 'Breeze': 38.0, 'Ascent': 75.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Yoru,22.0,"{'Icebox': 3.0, 'Lotus': 0.0, 'Bind': 18.0, 'Split': 25.0, 'Sunset': 7.0, 'Breeze': 85.0, 'Ascent': 25.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Skye,18.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 64.0, 'Split': 57.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Breach,17.0,"{'Icebox': 0.0, 'Lotus': 43.0, 'Bind': 7.0, 'Split': 43.0, 'Sunset': 18.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Sage,13.0,"{'Icebox': 53.0, 'Lotus': 13.0, 'Bind': 4.0, 'Split': 0.0, 'Sunset': 4.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Fade,12.0,"{'Icebox': 0.0, 'Lotus': 50.0, 'Bind': 0.0, 'Split': 29.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Brimstone,9.0,"{'Icebox': 0.0, 'Lotus': 10.0, 'Bind': 50.0, 'Split': 4.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Neon,6.0,"{'Icebox': 0.0, 'Lotus': 10.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 32.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Chamber,4.0,"{'Icebox': 9.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 14.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Astra,3.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 4.0, 'Sunset': 0.0, 'Breeze': 15.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Harbor,3.0,"{'Icebox': 12.0, 'Lotus': 0.0, 'Bind': 4.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Reyna,2.0,"{'Icebox': 12.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Phoenix,2.0,"{'Icebox': 0.0, 'Lotus': 3.0, 'Bind': 0.0, 'Split': 4.0, 'Sunset': 0.0, 'Breeze': 4.0, 'Ascent': 6.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Deadlock,2.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 4.0, 'Split': 0.0, 'Sunset': 7.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Clove,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
Tejo,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}",,,,,,,,,,,,Champions Tour 2024 EMEA Stage 1_csvs
