map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
Corrode,C9,1,3 (1),1 (0),4 (2),15 (10),530902,VCT 2025 Americas Stage 2_csvs
Haven,LEV,1,3 (1),2 (1),3 (2),15 (9),530902,VCT 2025 Americas Stage 2_csvs
Haven,C9,1,3 (1),1 (0),6 (1),13 (8),530902,VCT 2025 Americas Stage 2_csvs
All Maps,LEV,1,3 (1),2 (0),6 (3),13 (7),530902,VCT 2025 Americas Stage 2_csvs
All Maps,C9,1,2 (1),3 (0),8 (4),11 (8),530902,VCT 2025 Americas Stage 2_csvs
Sunset,G2,2,4 (2),0 (0),2 (0),11 (11),530903,VCT 2025 Americas Stage 2_csvs
Sunset,100T,0,3 (1),0 (0),6 (2),8 (1),530903,VCT 2025 Americas Stage 2_csvs
Haven,G2,1,3 (2),1 (1),2 (1),12 (9),530903,VCT 2025 Americas Stage 2_csvs
Haven,100T,1,3 (1),3 (0),5 (2),7 (2),530903,VCT 2025 Americas Stage 2_csvs
Corrode,G2,3,7 (4),1 (1),4 (1),23 (20),530903,VCT 2025 Americas Stage 2_csvs
Corrode,100T,1,6 (2),3 (0),11 (4),15 (3),530903,VCT 2025 Americas Stage 2_csvs
Corrode,SEN,1,3 (1),1 (0),4 (3),15 (9),530906,VCT 2025 Americas Stage 2_csvs
Corrode,C9,1,3 (1),1 (0),4 (3),15 (6),530906,VCT 2025 Americas Stage 2_csvs
Icebox,SEN,0,4 (0),1 (0),4 (2),13 (7),530906,VCT 2025 Americas Stage 2_csvs
Icebox,C9,2,2 (2),0 (0),7 (3),13 (8),530906,VCT 2025 Americas Stage 2_csvs
Lotus,SEN,1,3 (1),2 (1),6 (2),12 (9),530906,VCT 2025 Americas Stage 2_csvs
Lotus,C9,1,2 (1),0 (0),13 (6),8 (3),530906,VCT 2025 Americas Stage 2_csvs
Bind,SEN,2,10 (2),4 (1),14 (7),40 (25),530906,VCT 2025 Americas Stage 2_csvs
Bind,C9,4,7 (4),1 (0),24 (12),36 (17),530906,VCT 2025 Americas Stage 2_csvs
Corrode,NRG,1,3 (1),0 (0),6 (3),14 (9),530907,VCT 2025 Americas Stage 2_csvs
Corrode,G2,1,3 (1),2 (1),4 (1),14 (7),530907,VCT 2025 Americas Stage 2_csvs
Sunset,NRG,1,4 (1),1 (0),6 (3),13 (7),530907,VCT 2025 Americas Stage 2_csvs
Sunset,G2,1,3 (2),1 (1),7 (3),13 (7),530907,VCT 2025 Americas Stage 2_csvs
Ascent,NRG,2,2 (2),1 (0),12 (3),5 (2),530907,VCT 2025 Americas Stage 2_csvs
Ascent,G2,0,4 (0),2 (2),0 (0),14 (11),530907,VCT 2025 Americas Stage 2_csvs
Lotus,NRG,4,9 (4),2 (0),24 (9),32 (18),530907,VCT 2025 Americas Stage 2_csvs
Lotus,G2,2,10 (3),5 (4),11 (4),41 (25),530907,VCT 2025 Americas Stage 2_csvs
Lotus,LEV,2,2 (2),2 (1),6 (3),16 (8),530904,VCT 2025 Americas Stage 2_csvs
Lotus,KRÜ,0,4 (0),0 (0),3 (3),19 (9),530904,VCT 2025 Americas Stage 2_csvs
Sunset,LEV,1,3 (1),2 (0),5 (2),9 (3),530904,VCT 2025 Americas Stage 2_csvs
Sunset,KRÜ,1,3 (1),1 (1),2 (1),13 (10),530904,VCT 2025 Americas Stage 2_csvs
All Maps,LEV,1,3 (1),0 (0),5 (3),13 (9),530904,VCT 2025 Americas Stage 2_csvs
All Maps,KRÜ,1,3 (1),1 (1),6 (1),11 (5),530904,VCT 2025 Americas Stage 2_csvs
Bind,100T,2,2 (2),0 (0),4 (3),11 (8),530905,VCT 2025 Americas Stage 2_csvs
Bind,EG,0,4 (0),1 (1),3 (0),9 (3),530905,VCT 2025 Americas Stage 2_csvs
Corrode,100T,2,2 (2),3 (1),6 (3),15 (8),530905,VCT 2025 Americas Stage 2_csvs
Corrode,EG,0,4 (1),3 (2),0 (0),19 (9),530905,VCT 2025 Americas Stage 2_csvs
All Maps,100T,4,4 (4),3 (1),10 (6),26 (16),530905,VCT 2025 Americas Stage 2_csvs
All Maps,EG,0,8 (1),4 (3),3 (0),28 (12),530905,VCT 2025 Americas Stage 2_csvs
Ascent,NRG,1,3 (1),0 (0),1 (1),11 (11),530908,VCT 2025 Americas Stage 2_csvs
Ascent,LEV,1,2 (1),3 (0),6 (1),4 (0),530908,VCT 2025 Americas Stage 2_csvs
Icebox,NRG,2,2 (2),0 (0),3 (3),10 (8),530908,VCT 2025 Americas Stage 2_csvs
Icebox,LEV,0,3 (0),3 (0),5 (0),4 (2),530908,VCT 2025 Americas Stage 2_csvs
All Maps,NRG,3,5 (3),0 (0),4 (4),21 (19),530908,VCT 2025 Americas Stage 2_csvs
All Maps,LEV,1,5 (1),6 (0),11 (1),8 (2),530908,VCT 2025 Americas Stage 2_csvs
Haven,C9,1,3 (1),1 (0),5 (5),13 (7),530909,VCT 2025 Americas Stage 2_csvs
Haven,100T,1,3 (1),2 (2),5 (3),12 (3),530909,VCT 2025 Americas Stage 2_csvs
Icebox,C9,1,3 (1),2 (2),6 (2),15 (9),530909,VCT 2025 Americas Stage 2_csvs
Icebox,100T,1,3 (2),1 (1),7 (3),15 (6),530909,VCT 2025 Americas Stage 2_csvs
All Maps,C9,2,6 (2),3 (2),11 (7),28 (16),530909,VCT 2025 Americas Stage 2_csvs
All Maps,100T,2,6 (3),3 (3),12 (6),27 (9),530909,VCT 2025 Americas Stage 2_csvs
Bind,SEN,1,4 (1),0 (0),5 (2),12 (5),530910,VCT 2025 Americas Stage 2_csvs
Bind,G2,1,3 (1),1 (1),3 (3),14 (8),530910,VCT 2025 Americas Stage 2_csvs
Sunset,SEN,1,3 (1),2 (1),7 (4),10 (3),530910,VCT 2025 Americas Stage 2_csvs
Sunset,G2,1,3 (1),2 (0),4 (4),13 (8),530910,VCT 2025 Americas Stage 2_csvs
Corrode,SEN,2,7 (2),2 (1),12 (6),22 (8),530910,VCT 2025 Americas Stage 2_csvs
Corrode,G2,2,6 (2),3 (1),7 (7),27 (16),530910,VCT 2025 Americas Stage 2_csvs
Haven,NRG,2,3 (2),0 (0),2 (1),10 (10),530911,VCT 2025 Americas Stage 2_csvs
Haven,C9,0,2 (0),1 (0),7 (2),5 (0),530911,VCT 2025 Americas Stage 2_csvs
Corrode,NRG,0,3 (1),2 (0),4 (3),14 (9),530911,VCT 2025 Americas Stage 2_csvs
Corrode,C9,2,2 (2),2 (0),9 (4),10 (4),530911,VCT 2025 Americas Stage 2_csvs
All Maps,NRG,0,4 (0),0 (0),10 (5),9 (5),530911,VCT 2025 Americas Stage 2_csvs
All Maps,C9,2,2 (2),0 (0),8 (5),13 (6),530911,VCT 2025 Americas Stage 2_csvs
All Maps,ALP,1,2 (1),0 (0),6 (5),9 (7),536985,VCT 2025 Americas Stage 2_csvs
All Maps,OME,1,3 (2),1 (0),8 (1),5 (1),536985,VCT 2025 Americas Stage 2_csvs
Lotus,SEN,1,3 (1),2 (1),4 (1),8 (1),530912,VCT 2025 Americas Stage 2_csvs
Lotus,NRG,1,3 (1),0 (0),2 (2),12 (10),530912,VCT 2025 Americas Stage 2_csvs
Icebox,SEN,0,3 (0),2 (0),4 (2),15 (9),530912,VCT 2025 Americas Stage 2_csvs
Icebox,NRG,2,2 (2),2 (0),9 (5),11 (6),530912,VCT 2025 Americas Stage 2_csvs
Sunset,SEN,2,2 (2),1 (1),7 (4),13 (6),530912,VCT 2025 Americas Stage 2_csvs
Sunset,NRG,0,4 (0),1 (0),7 (3),11 (7),530912,VCT 2025 Americas Stage 2_csvs
Corrode,SEN,1,3 (1),0 (0),8 (2),10 (5),530912,VCT 2025 Americas Stage 2_csvs
Corrode,NRG,1,4 (1),0 (0),5 (3),12 (9),530912,VCT 2025 Americas Stage 2_csvs
Haven,SEN,4,11 (4),5 (2),23 (9),46 (21),530912,VCT 2025 Americas Stage 2_csvs
Haven,NRG,4,13 (4),3 (0),23 (13),46 (32),530912,VCT 2025 Americas Stage 2_csvs
Bind,G2,1,3 (1),0 (0),6 (3),15 (9),530913,VCT 2025 Americas Stage 2_csvs
Bind,NRG,1,4 (1),0 (0),5 (2),15 (8),530913,VCT 2025 Americas Stage 2_csvs
Lotus,G2,2,2 (2),1 (0),5 (4),13 (7),530913,VCT 2025 Americas Stage 2_csvs
Lotus,NRG,0,4 (0),2 (0),2 (1),13 (7),530913,VCT 2025 Americas Stage 2_csvs
Ascent,G2,0,4 (0),1 (1),2 (1),16 (11),530913,VCT 2025 Americas Stage 2_csvs
Ascent,NRG,2,2 (2),3 (0),8 (4),10 (4),530913,VCT 2025 Americas Stage 2_csvs
Haven,G2,3,9 (3),2 (1),13 (8),44 (27),530913,VCT 2025 Americas Stage 2_csvs
Haven,NRG,3,10 (3),5 (0),15 (7),38 (19),530913,VCT 2025 Americas Stage 2_csvs
Lotus,BBL,1,3 (1),2 (0),3 (2),14 (10),429381,VCT 2025 EMEA Kickoff_csvs
Lotus,GX,1,3 (1),1 (0),5 (2),13 (6),429381,VCT 2025 EMEA Kickoff_csvs
Haven,BBL,2,2 (2),0 (0),6 (3),18 (7),429381,VCT 2025 EMEA Kickoff_csvs
Haven,GX,0,4 (0),2 (1),3 (1),17 (12),429381,VCT 2025 EMEA Kickoff_csvs
All Maps,BBL,2,2 (2),0 (0),5 (4),11 (7),429381,VCT 2025 EMEA Kickoff_csvs
All Maps,GX,0,4 (0),3 (1),3 (0),8 (4),429381,VCT 2025 EMEA Kickoff_csvs
Abyss,KC,1,3 (1),1 (0),8 (3),11 (6),429380,VCT 2025 EMEA Kickoff_csvs
Abyss,NAVI,1,3 (1),0 (0),5 (3),15 (9),429380,VCT 2025 EMEA Kickoff_csvs
Bind,KC,2,2 (2),0 (0),4 (4),9 (7),429380,VCT 2025 EMEA Kickoff_csvs
Bind,NAVI,0,3 (0),1 (0),4 (1),7 (1),429380,VCT 2025 EMEA Kickoff_csvs
All Maps,KC,1,3 (1),0 (0),3 (2),13 (10),429380,VCT 2025 EMEA Kickoff_csvs
All Maps,NAVI,1,2 (1),3 (0),5 (2),9 (3),429380,VCT 2025 EMEA Kickoff_csvs
Fracture,TL,1,3 (1),1 (0),6 (2),13 (7),429379,VCT 2025 EMEA Kickoff_csvs
Fracture,MKOI,1,4 (2),1 (0),2 (1),16 (10),429379,VCT 2025 EMEA Kickoff_csvs
Abyss,TL,1,3 (1),0 (0),2 (2),11 (10),429379,VCT 2025 EMEA Kickoff_csvs
Abyss,MKOI,1,3 (1),2 (0),4 (1),7 (1),429379,VCT 2025 EMEA Kickoff_csvs
All Maps,TL,1,3 (1),0 (0),4 (2),16 (10),429379,VCT 2025 EMEA Kickoff_csvs
All Maps,MKOI,1,4 (2),0 (0),7 (3),12 (5),429379,VCT 2025 EMEA Kickoff_csvs
Pearl,APK,0,5 (0),2 (0),2 (1),11 (6),429382,VCT 2025 EMEA Kickoff_csvs
Pearl,M8,2,3 (3),0 (0),6 (4),11 (6),429382,VCT 2025 EMEA Kickoff_csvs
Haven,APK,1,3 (1),3 (0),2 (1),18 (10),429382,VCT 2025 EMEA Kickoff_csvs
Haven,M8,1,3 (1),2 (0),3 (2),18 (11),429382,VCT 2025 EMEA Kickoff_csvs
All Maps,APK,1,8 (1),5 (0),4 (2),29 (16),429382,VCT 2025 EMEA Kickoff_csvs
All Maps,M8,3,6 (4),2 (0),9 (6),29 (17),429382,VCT 2025 EMEA Kickoff_csvs
Abyss,FNC,1,3 (1),0 (0),5 (3),13 (4),429385,VCT 2025 EMEA Kickoff_csvs
Abyss,BBL,1,3 (1),2 (0),5 (4),11 (8),429385,VCT 2025 EMEA Kickoff_csvs
Fracture,FNC,2,2 (2),0 (0),6 (4),13 (7),429385,VCT 2025 EMEA Kickoff_csvs
Fracture,BBL,0,4 (1),4 (1),5 (3),8 (3),429385,VCT 2025 EMEA Kickoff_csvs
All Maps,FNC,1,3 (1),1 (0),7 (3),12 (6),429385,VCT 2025 EMEA Kickoff_csvs
All Maps,BBL,1,3 (1),2 (1),7 (3),11 (8),429385,VCT 2025 EMEA Kickoff_csvs
Haven,VIT,2,2 (2),0 (0),5 (4),11 (7),429384,VCT 2025 EMEA Kickoff_csvs
Haven,KC,0,4 (0),1 (0),4 (2),9 (3),429384,VCT 2025 EMEA Kickoff_csvs
Bind,VIT,1,3 (1),0 (0),6 (1),13 (7),429384,VCT 2025 EMEA Kickoff_csvs
Bind,KC,1,3 (1),1 (0),7 (4),11 (8),429384,VCT 2025 EMEA Kickoff_csvs
All Maps,VIT,2,2 (2),2 (1),9 (5),19 (9),429384,VCT 2025 EMEA Kickoff_csvs
All Maps,KC,0,4 (0),0 (0),4 (3),24 (12),429384,VCT 2025 EMEA Kickoff_csvs
Pearl,FUT,1,4 (1),0 (0),3 (1),13 (11),429383,VCT 2025 EMEA Kickoff_csvs
Pearl,TL,1,3 (1),1 (0),5 (1),11 (5),429383,VCT 2025 EMEA Kickoff_csvs
Fracture,FUT,1,3 (1),1 (1),4 (4),11 (7),429383,VCT 2025 EMEA Kickoff_csvs
Fracture,TL,1,3 (1),3 (1),5 (2),8 (2),429383,VCT 2025 EMEA Kickoff_csvs
All Maps,FUT,2,7 (2),1 (1),7 (5),24 (18),429383,VCT 2025 EMEA Kickoff_csvs
All Maps,TL,2,6 (2),4 (1),10 (3),19 (7),429383,VCT 2025 EMEA Kickoff_csvs
Abyss,TH,0,4 (0),1 (0),2 (0),10 (4),429386,VCT 2025 EMEA Kickoff_csvs
Abyss,M8,2,2 (2),0 (0),3 (3),12 (8),429386,VCT 2025 EMEA Kickoff_csvs
Fracture,TH,2,3 (2),0 (0),3 (2),10 (9),429386,VCT 2025 EMEA Kickoff_csvs
Fracture,M8,0,3 (0),2 (0),3 (1),8 (2),429386,VCT 2025 EMEA Kickoff_csvs
All Maps,TH,1,3 (1),1 (0),2 (1),15 (11),429386,VCT 2025 EMEA Kickoff_csvs
All Maps,M8,1,4 (1),1 (0),5 (2),11 (5),429386,VCT 2025 EMEA Kickoff_csvs
Bind,KC,2,2 (2),2 (0),8 (5),14 (7),429393,VCT 2025 EMEA Kickoff_csvs
Bind,GX,0,4 (0),0 (0),3 (0),19 (12),429393,VCT 2025 EMEA Kickoff_csvs
Lotus,KC,1,3 (1),2 (0),6 (3),10 (4),429393,VCT 2025 EMEA Kickoff_csvs
Lotus,GX,1,3 (2),0 (0),3 (3),15 (8),429393,VCT 2025 EMEA Kickoff_csvs
is,KC,2,2 (2),3 (0),3 (2),15 (6),429393,VCT 2025 EMEA Kickoff_csvs
is,GX,0,4 (0),1 (0),1 (0),17 (13),429393,VCT 2025 EMEA Kickoff_csvs
All Maps,KC,5,7 (5),7 (0),17 (10),39 (17),429393,VCT 2025 EMEA Kickoff_csvs
All Maps,GX,1,11 (2),1 (0),7 (3),51 (33),429393,VCT 2025 EMEA Kickoff_csvs
Pearl,FNC,1,4 (1),2 (1),3 (2),13 (9),429392,VCT 2025 EMEA Kickoff_csvs
Pearl,NAVI,1,4 (1),0 (0),5 (2),13 (6),429392,VCT 2025 EMEA Kickoff_csvs
Fracture,FNC,1,2 (1),3 (0),4 (2),12 (5),429392,VCT 2025 EMEA Kickoff_csvs
Fracture,NAVI,1,3 (1),0 (0),3 (2),15 (10),429392,VCT 2025 EMEA Kickoff_csvs
All Maps,FNC,0,4 (1),1 (0),3 (1),20 (13),429392,VCT 2025 EMEA Kickoff_csvs
All Maps,NAVI,2,2 (2),2 (1),5 (1),19 (9),429392,VCT 2025 EMEA Kickoff_csvs
Abyss,TL,1,3 (1),1 (0),4 (2),14 (10),429394,VCT 2025 EMEA Kickoff_csvs
Abyss,APK,1,4 (1),2 (0),4 (3),12 (5),429394,VCT 2025 EMEA Kickoff_csvs
Pearl,TL,0,4 (0),2 (0),2 (1),16 (10),429394,VCT 2025 EMEA Kickoff_csvs
Pearl,APK,2,2 (2),3 (1),7 (5),12 (5),429394,VCT 2025 EMEA Kickoff_csvs
All Maps,TL,2,2 (2),1 (0),4 (3),12 (8),429394,VCT 2025 EMEA Kickoff_csvs
All Maps,APK,0,4 (0),2 (1),2 (0),11 (5),429394,VCT 2025 EMEA Kickoff_csvs
Haven,M8,1,3 (2),0 (0),2 (2),11 (9),429391,VCT 2025 EMEA Kickoff_csvs
Haven,MKOI,1,3 (1),3 (0),2 (0),8 (2),429391,VCT 2025 EMEA Kickoff_csvs
Lotus,M8,1,4 (1),2 (1),3 (1),11 (4),429391,VCT 2025 EMEA Kickoff_csvs
Lotus,MKOI,1,3 (2),0 (0),3 (2),14 (9),429391,VCT 2025 EMEA Kickoff_csvs
All Maps,M8,1,4 (2),1 (0),2 (1),12 (10),429391,VCT 2025 EMEA Kickoff_csvs
All Maps,MKOI,1,4 (2),1 (0),5 (1),9 (3),429391,VCT 2025 EMEA Kickoff_csvs
Pearl,BBL,1,3 (1),2 (0),4 (2),15 (8),429388,VCT 2025 EMEA Kickoff_csvs
Pearl,TH,1,3 (1),2 (0),4 (2),15 (10),429388,VCT 2025 EMEA Kickoff_csvs
Lotus,BBL,1,3 (1),3 (1),8 (3),6 (2),429388,VCT 2025 EMEA Kickoff_csvs
Lotus,TH,1,3 (1),0 (0),2 (2),15 (10),429388,VCT 2025 EMEA Kickoff_csvs
All Maps,BBL,2,6 (2),5 (1),12 (5),21 (10),429388,VCT 2025 EMEA Kickoff_csvs
All Maps,TH,2,6 (2),2 (0),6 (4),30 (20),429388,VCT 2025 EMEA Kickoff_csvs
Bind,FUT,2,2 (2),2 (0),6 (3),10 (2),429387,VCT 2025 EMEA Kickoff_csvs
Bind,VIT,0,3 (0),2 (0),0 (0),15 (13),429387,VCT 2025 EMEA Kickoff_csvs
Split,FUT,0,3 (0),3 (0),2 (2),9 (2),429387,VCT 2025 EMEA Kickoff_csvs
Split,VIT,2,3 (2),0 (0),4 (3),10 (8),429387,VCT 2025 EMEA Kickoff_csvs
All Maps,FUT,2,5 (2),5 (0),8 (5),19 (4),429387,VCT 2025 EMEA Kickoff_csvs
All Maps,VIT,2,6 (2),2 (0),4 (3),25 (21),429387,VCT 2025 EMEA Kickoff_csvs
Abyss,M8,1,3 (1),1 (0),5 (2),9 (2),429395,VCT 2025 EMEA Kickoff_csvs
Abyss,FNC,1,3 (1),0 (0),2 (1),13 (11),429395,VCT 2025 EMEA Kickoff_csvs
Fracture,M8,1,4 (1),0 (0),9 (4),6 (1),429395,VCT 2025 EMEA Kickoff_csvs
Fracture,FNC,1,3 (1),0 (0),3 (3),13 (9),429395,VCT 2025 EMEA Kickoff_csvs
All Maps,M8,2,7 (2),1 (0),14 (6),15 (3),429395,VCT 2025 EMEA Kickoff_csvs
All Maps,FNC,2,6 (2),0 (0),5 (4),26 (20),429395,VCT 2025 EMEA Kickoff_csvs
Fracture,GX,0,4 (0),2 (1),1 (1),14 (6),429396,VCT 2025 EMEA Kickoff_csvs
Fracture,TL,2,2 (2),2 (2),7 (5),10 (4),429396,VCT 2025 EMEA Kickoff_csvs
Split,GX,1,3 (1),2 (0),5 (2),9 (3),429396,VCT 2025 EMEA Kickoff_csvs
Split,TL,1,3 (2),0 (0),4 (3),12 (8),429396,VCT 2025 EMEA Kickoff_csvs
All Maps,GX,1,7 (1),4 (1),6 (3),23 (9),429396,VCT 2025 EMEA Kickoff_csvs
All Maps,TL,3,5 (4),2 (2),11 (8),22 (12),429396,VCT 2025 EMEA Kickoff_csvs
Abyss,FUT,2,3 (2),1 (0),6 (2),13 (9),429397,VCT 2025 EMEA Kickoff_csvs
Abyss,FNC,0,4 (0),2 (0),0 (0),17 (10),429397,VCT 2025 EMEA Kickoff_csvs
Fracture,FUT,2,4 (2),1 (1),4 (2),10 (8),429397,VCT 2025 EMEA Kickoff_csvs
Fracture,FNC,0,4 (1),1 (0),4 (1),10 (4),429397,VCT 2025 EMEA Kickoff_csvs
All Maps,FUT,4,7 (4),2 (1),10 (4),23 (17),429397,VCT 2025 EMEA Kickoff_csvs
All Maps,FNC,0,8 (1),3 (0),4 (1),27 (14),429397,VCT 2025 EMEA Kickoff_csvs
Bind,BBL,1,3 (2),1 (1),5 (4),15 (4),429398,VCT 2025 EMEA Kickoff_csvs
Bind,TL,1,3 (1),2 (1),3 (2),16 (9),429398,VCT 2025 EMEA Kickoff_csvs
Pearl,BBL,2,3 (2),2 (0),5 (1),12 (10),429398,VCT 2025 EMEA Kickoff_csvs
Pearl,TL,0,3 (0),1 (0),10 (7),8 (2),429398,VCT 2025 EMEA Kickoff_csvs
All Maps,BBL,2,2 (2),2 (1),7 (3),12 (4),429398,VCT 2025 EMEA Kickoff_csvs
All Maps,TL,0,4 (0),1 (0),4 (3),14 (10),429398,VCT 2025 EMEA Kickoff_csvs
Haven,VIT,1,3 (1),1 (0),5 (4),14 (8),429389,VCT 2025 EMEA Kickoff_csvs
Haven,TH,1,3 (1),3 (1),4 (3),13 (5),429389,VCT 2025 EMEA Kickoff_csvs
Abyss,VIT,2,2 (2),0 (0),3 (3),9 (8),429389,VCT 2025 EMEA Kickoff_csvs
Abyss,TH,0,3 (0),2 (0),4 (1),5 (0),429389,VCT 2025 EMEA Kickoff_csvs
All Maps,VIT,3,5 (3),1 (0),8 (7),23 (16),429389,VCT 2025 EMEA Kickoff_csvs
All Maps,TH,1,6 (1),5 (1),8 (4),18 (5),429389,VCT 2025 EMEA Kickoff_csvs
Abyss,FUT,0,6 (0),1 (0),2 (1),11 (6),429400,VCT 2025 EMEA Kickoff_csvs
Abyss,TL,2,2 (2),0 (0),6 (4),12 (7),429400,VCT 2025 EMEA Kickoff_csvs
Bind,FUT,1,4 (1),1 (1),3 (2),16 (9),429400,VCT 2025 EMEA Kickoff_csvs
Bind,TL,1,3 (1),1 (0),5 (1),15 (9),429400,VCT 2025 EMEA Kickoff_csvs
All Maps,FUT,1,3 (1),3 (0),3 (0),8 (3),429400,VCT 2025 EMEA Kickoff_csvs
All Maps,TL,1,3 (2),0 (0),3 (2),11 (9),429400,VCT 2025 EMEA Kickoff_csvs
Lotus,TH,0,4 (0),2 (0),5 (3),6 (1),429401,VCT 2025 EMEA Kickoff_csvs
Lotus,TL,2,2 (2),0 (0),5 (4),10 (7),429401,VCT 2025 EMEA Kickoff_csvs
Abyss,TH,1,3 (1),3 (0),5 (1),6 (2),429401,VCT 2025 EMEA Kickoff_csvs
Abyss,TL,1,3 (2),0 (0),2 (2),12 (9),429401,VCT 2025 EMEA Kickoff_csvs
Fracture,TH,0,4 (0),0 (0),4 (1),12 (6),429401,VCT 2025 EMEA Kickoff_csvs
Fracture,TL,2,2 (2),2 (0),5 (4),11 (7),429401,VCT 2025 EMEA Kickoff_csvs
Haven,TH,1,11 (1),5 (0),14 (5),24 (9),429401,VCT 2025 EMEA Kickoff_csvs
Haven,TL,5,7 (6),2 (0),12 (10),33 (23),429401,VCT 2025 EMEA Kickoff_csvs
Split,VIT,0,4 (0),2 (1),4 (2),13 (7),429390,VCT 2025 EMEA Kickoff_csvs
Split,TL,2,2 (2),2 (0),7 (4),12 (7),429390,VCT 2025 EMEA Kickoff_csvs
Haven,VIT,1,3 (1),0 (0),8 (2),9 (4),429390,VCT 2025 EMEA Kickoff_csvs
Haven,TL,1,3 (1),1 (1),4 (3),12 (8),429390,VCT 2025 EMEA Kickoff_csvs
Lotus,VIT,2,3 (2),2 (1),3 (1),11 (9),429390,VCT 2025 EMEA Kickoff_csvs
Lotus,TL,0,3 (0),0 (0),8 (3),8 (3),429390,VCT 2025 EMEA Kickoff_csvs
Bind,VIT,1,3 (1),0 (0),2 (2),15 (10),429390,VCT 2025 EMEA Kickoff_csvs
Bind,TL,1,3 (1),2 (2),6 (2),9 (2),429390,VCT 2025 EMEA Kickoff_csvs
both,VIT,2,2 (2),0 (0),5 (4),14 (7),429390,VCT 2025 EMEA Kickoff_csvs
both,TL,0,4 (0),0 (0),6 (3),11 (5),429390,VCT 2025 EMEA Kickoff_csvs
All Maps,VIT,6,15 (6),4 (2),22 (11),62 (37),429390,VCT 2025 EMEA Kickoff_csvs
All Maps,TL,4,15 (4),5 (3),31 (15),52 (25),429390,VCT 2025 EMEA Kickoff_csvs
Split,VIT,1,3 (1),2 (1),2 (2),15 (9),459826,VCT 2025 EMEA Stage 1_csvs
Split,GX,1,3 (1),0 (0),6 (4),13 (4),459826,VCT 2025 EMEA Stage 1_csvs
Lotus,VIT,2,2 (2),0 (0),3 (3),10 (8),459826,VCT 2025 EMEA Stage 1_csvs
Lotus,GX,0,3 (0),2 (0),7 (2),3 (0),459826,VCT 2025 EMEA Stage 1_csvs
All Maps,VIT,3,5 (3),2 (1),5 (5),25 (17),459826,VCT 2025 EMEA Stage 1_csvs
All Maps,GX,1,6 (1),2 (0),13 (6),16 (4),459826,VCT 2025 EMEA Stage 1_csvs
Icebox,BBL,1,3 (1),1 (0),4 (1),8 (1),459827,VCT 2025 EMEA Stage 1_csvs
Icebox,KC,1,3 (1),0 (0),2 (2),11 (10),459827,VCT 2025 EMEA Stage 1_csvs
Pearl,BBL,1,3 (1),4 (2),5 (3),12 (7),459827,VCT 2025 EMEA Stage 1_csvs
Pearl,KC,1,4 (2),0 (0),6 (1),14 (8),459827,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,2,2 (2),1 (1),5 (2),13 (8),459827,VCT 2025 EMEA Stage 1_csvs
All Maps,KC,0,4 (0),2 (0),4 (2),11 (6),459827,VCT 2025 EMEA Stage 1_csvs
Ascent,TH,1,3 (1),1 (0),7 (2),7 (2),459828,VCT 2025 EMEA Stage 1_csvs
Ascent,APK,1,3 (1),1 (0),2 (2),12 (10),459828,VCT 2025 EMEA Stage 1_csvs
Split,TH,2,2 (2),0 (0),8 (3),11 (8),459828,VCT 2025 EMEA Stage 1_csvs
Split,APK,0,4 (0),2 (0),2 (0),13 (8),459828,VCT 2025 EMEA Stage 1_csvs
All Maps,TH,0,4 (1),1 (1),1 (0),13 (11),459828,VCT 2025 EMEA Stage 1_csvs
All Maps,APK,2,3 (2),2 (0),5 (1),9 (3),459828,VCT 2025 EMEA Stage 1_csvs
Pearl,FUT,1,3 (1),0 (0),2 (2),12 (10),459829,VCT 2025 EMEA Stage 1_csvs
Pearl,MKOI,1,3 (1),2 (1),7 (1),5 (1),459829,VCT 2025 EMEA Stage 1_csvs
Lotus,FUT,2,2 (2),2 (0),7 (4),15 (8),459829,VCT 2025 EMEA Stage 1_csvs
Lotus,MKOI,0,5 (0),2 (0),1 (1),18 (11),459829,VCT 2025 EMEA Stage 1_csvs
All Maps,FUT,3,5 (3),2 (0),9 (6),27 (18),459829,VCT 2025 EMEA Stage 1_csvs
All Maps,MKOI,1,8 (1),4 (1),8 (2),23 (12),459829,VCT 2025 EMEA Stage 1_csvs
Split,FNC,2,2 (2),0 (0),3 (3),13 (8),459830,VCT 2025 EMEA Stage 1_csvs
Split,NAVI,0,4 (0),1 (0),8 (3),5 (2),459830,VCT 2025 EMEA Stage 1_csvs
Fracture,FNC,1,3 (1),2 (1),4 (1),15 (10),459830,VCT 2025 EMEA Stage 1_csvs
Fracture,NAVI,1,3 (1),0 (0),4 (1),17 (9),459830,VCT 2025 EMEA Stage 1_csvs
All Maps,FNC,3,5 (3),2 (1),7 (4),28 (18),459830,VCT 2025 EMEA Stage 1_csvs
All Maps,NAVI,1,7 (1),1 (0),12 (4),22 (11),459830,VCT 2025 EMEA Stage 1_csvs
Split,TL,0,4 (1),0 (0),3 (3),12 (9),459831,VCT 2025 EMEA Stage 1_csvs
Split,M8,2,2 (2),4 (1),4 (1),9 (2),459831,VCT 2025 EMEA Stage 1_csvs
Haven,TL,2,2 (2),3 (1),8 (3),13 (6),459831,VCT 2025 EMEA Stage 1_csvs
