player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Smoggy,Smoggy,EDG,4742,['Omen'],1,78,,237.0,1.1,,156.4,0.82,0.26,0.09,0.04,,0%,,25,64,58,20,7,3
CHICHOO,CHICHOO,EDG,15559,"['Astra', 'Viper']",2,78,,186.5,0.88,,122.4,0.65,0.26,0.05,0.05,,0%,,15,51,58,20,4,4
Asuna,Asuna,100T,601,"['Gekko', 'Raze', 'Kayo']",3,188,,202.8,0.98,,135.3,0.7,0.3,0.12,0.15,,0%,,24,131,134,57,22,28
Boostio,Boostio,100T,604,"['Killjoy', 'Gekko', 'Cypher']",3,188,,183.0,0.91,,125.1,0.66,0.2,0.1,0.12,,0%,,22,125,137,37,19,22
eeiu,eeiu,100T,796,"['Sova', 'Fade']",2,188,,188.9,1.0,,124.5,0.66,0.25,0.05,0.05,,0%,,16,124,124,47,10,10
bang,bang,100T,3880,"['Viper', 'Omen']",2,188,,200.2,1.01,,133.8,0.7,0.25,0.1,0.06,,0%,,23,131,130,47,18,11
Cryocells,Cryocells,100T,4147,"['Jett', 'Brimstone', 'Gekko']",3,188,,219.2,1.07,,140.2,0.78,0.26,0.12,0.14,,0%,,32,146,137,48,22,26
Boaster,Boaster,FNC,438,"['Omen', 'Brimstone', 'Viper']",3,125,,137.0,0.65,,95.4,0.47,0.31,0.08,0.11,,0%,,17,59,91,39,10,14
Chronicle,Chronicle,FNC,458,"['Viper', 'Skye', 'Kayo', 'Cypher']",4,125,,172.5,0.81,,118.1,0.59,0.33,0.06,0.11,,0%,,19,74,91,41,8,14
Leo,Leo,FNC,1380,"['Fade', 'Gekko', 'Sova', 'Breach']",4,125,,186.3,1.01,,124.6,0.65,0.36,0.03,0.05,,0%,,19,81,80,45,4,6
Derke,Derke,FNC,5022,"['Raze', 'Yoru', 'Jett']",3,125,,258.5,1.17,,165.3,0.86,0.23,0.18,0.12,,0%,,26,108,92,29,22,15
t3xture,t3xture,GEN,9196,"['Jett', 'Raze']",2,388,,241.2,1.21,,148.2,0.85,0.14,0.22,0.17,,0%,,28,328,272,55,84,67
