map_name,times_played,attack_win_percent,defense_win_percent
Lotus,14,53%,47%
Icebox,11,48%,52%
Sunset,11,48%,52%
Bind,10,59%,41%
Ascent,7,42%,58%
Breeze,6,47%,53%
Split,5,62%,38%
