map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Breeze,SEN,1,3 (1),1 (0),9 (5),9 (3),307574
Breeze,G2,1,3 (1),2 (0),4 (2),13 (10),307574
All Maps,SEN,0,4 (0),0 (0),6 (2),12 (7),307574
All Maps,G2,2,2 (2),1 (0),8 (6),11 (5),307574
Ascent,EG,1,3 (1),2 (2),3 (2),12 (8),303087
Ascent,LOUD,1,3 (1),0 (0),9 (3),8 (3),303087
Icebox,EG,0,3 (0),3 (0),3 (1),11 (6),303087
Icebox,LOUD,2,2 (2),1 (1),4 (3),13 (7),303087
All Maps,EG,0,4 (0),2 (0),1 (0),11 (5),303087
All Maps,LOUD,2,2 (2),0 (0),3 (2),13 (9),303087
Sunset,NRG,2,2 (2),0 (0),9 (5),19 (7),303088
Sunset,SEN,0,3 (0),1 (0),1 (0),25 (16),303088
Ascent,NRG,1,3 (1),2 (1),3 (2),13 (9),303088
Ascent,SEN,1,3 (1),1 (0),6 (3),11 (4),303088
All Maps,NRG,1,3 (1),0 (0),7 (2),6 (0),303088
All Maps,SEN,1,3 (1),0 (0),3 (3),10 (9),303088
Sunset,LOUD,1,3 (1),2 (0),6 (3),11 (5),303086
Sunset,SEN,1,3 (1),2 (1),6 (4),11 (7),303086
Split,LOUD,0,4 (0),1 (0),4 (0),7 (3),303086
Split,SEN,2,2 (2),0 (0),5 (5),9 (6),303086
Icebox,LOUD,1,3 (2),3 (2),4 (0),14 (9),303086
Icebox,SEN,1,3 (1),0 (0),7 (3),14 (7),303086
Bind,LOUD,2,3 (2),1 (0),4 (1),13 (10),303086
Bind,SEN,0,3 (0),2 (0),6 (4),10 (4),303086
All Maps,LOUD,0,3 (0),2 (0),5 (2),7 (2),303086
All Maps,SEN,2,3 (2),0 (0),6 (5),8 (6),303086
