map_name,times_played,attack_win_percent,defense_win_percent
Split,13,44%,56%
Ascent,9,49%,51%
Sunset,9,51%,49%
Bind,7,58%,42%
Breeze,5,48%,52%
Icebox,5,54%,46%
Lotus,3,53%,47%
