player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
OXY,OXY,C9,18796,"['Yoru', 'Raze', 'Jett']",3,162,0.93,227.9,0.96,67%,147.9,0.79,0.16,0.23,0.19,33%,7%,1/14,24,128,134,26,38,31
Quick,Quick,LOUD,1575,"['Raze', 'Phoenix', 'Jett']",3,271,0.93,203.0,0.99,67%,135.7,0.73,0.19,0.18,0.15,28%,7%,1/14,24,198,199,52,48,42
Marved,Marved,NRG,263,"['Viper', 'Omen']",2,157,0.92,193.0,0.88,75%,123.0,0.66,0.4,0.06,0.1,27%,8%,1/12,22,104,118,63,9,15
eeiu,eeiu,100T,796,"['Fade', 'Sova']",2,120,0.91,170.0,0.89,71%,110.9,0.62,0.29,0.03,0.04,25%,4%,1/23,17,74,83,35,3,5
bang,bang,100T,3880,['Viper'],1,120,0.91,192.5,0.92,71%,124.2,0.65,0.26,0.09,0.09,29%,21%,4/19,19,78,85,31,11,11
liazzi,liazzi,FUR,2567,"['Viper', 'Omen', 'Astra']",3,90,0.89,167.0,0.83,70%,106.4,0.56,0.33,0.06,0.07,35%,8%,1/12,19,50,60,30,5,6
saadhak,saadhak,LOUD,727,"['Skye', 'Kayo', 'Killjoy', 'Sova']",4,271,0.88,186.9,0.82,75%,122.0,0.61,0.39,0.08,0.12,17%,5%,1/22,19,166,203,107,23,32
mta,mta,KRÜ,36169,['Kayo'],1,110,0.86,179.4,0.76,67%,111.7,0.58,0.46,0.11,0.13,39%,0%,0/6,14,64,84,51,12,14
mazin,mazin,MIBR,8872,"['Skye', 'Viper', 'Kayo']",3,274,0.83,161.6,0.79,66%,109.1,0.54,0.38,0.07,0.09,29%,14%,5/35,19,147,187,103,19,25
Asuna,Asuna,100T,601,"['Raze', 'Gekko']",2,120,0.81,189.5,0.76,71%,117.0,0.6,0.27,0.11,0.15,17%,22%,2/9,18,72,95,32,13,18
Mazino,Mazino,LEV,7603,"['Harbor', 'Omen', 'Astra', 'Kayo']",4,186,0.81,163.6,0.78,67%,112.8,0.56,0.35,0.06,0.12,26%,28%,5/18,18,105,135,65,11,23
NaturE,NaturE,EG,4927,"['Breach', 'Kayo']",2,110,0.78,148.4,0.66,72%,94.0,0.5,0.41,0.06,0.02,27%,13%,2/15,18,55,83,45,7,2
tex,tex,LEV,1818,"['Gekko', 'Cypher', 'Killjoy', 'Raze']",4,186,0.75,167.0,0.73,70%,115.5,0.58,0.25,0.11,0.15,27%,0%,0/18,19,107,147,47,20,28
havoc,havoc,FUR,8706,"['Kayo', 'Raze']",2,90,0.69,171.3,0.72,56%,111.6,0.56,0.29,0.13,0.22,27%,0%,0/2,20,50,69,26,12,20
Melser,Melser,KRÜ,1311,"['Viper', 'Omen', 'Astra']",3,110,0.64,137.4,0.67,66%,87.3,0.49,0.28,0.05,0.12,30%,6%,1/16,13,54,81,31,5,13
