map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Split,GX,1,3 (1),2 (0),5 (2),9 (3),429396
Split,TL,1,3 (2),0 (0),4 (3),12 (8),429396
All Maps,GX,1,7 (1),4 (1),6 (3),23 (9),429396
All Maps,TL,3,5 (4),2 (2),11 (8),22 (12),429396
Abyss,FUT,2,3 (2),1 (0),6 (2),13 (9),429397
Abyss,FNC,0,4 (0),2 (0),0 (0),17 (10),429397
Fracture,FUT,2,4 (2),1 (1),4 (2),10 (8),429397
Fracture,FNC,0,4 (1),1 (0),4 (1),10 (4),429397
All Maps,FUT,4,7 (4),2 (1),10 (4),23 (17),429397
All Maps,FNC,0,8 (1),3 (0),4 (1),27 (14),429397
Bind,BBL,1,3 (2),1 (1),5 (4),15 (4),429398
Bind,TL,1,3 (1),2 (1),3 (2),16 (9),429398
Pearl,BBL,2,3 (2),2 (0),5 (1),12 (10),429398
Pearl,TL,0,3 (0),1 (0),10 (7),8 (2),429398
All Maps,BBL,2,2 (2),2 (1),7 (3),12 (4),429398
All Maps,TL,0,4 (0),1 (0),4 (3),14 (10),429398
Haven,VIT,1,3 (1),1 (0),5 (4),14 (8),429389
Haven,TH,1,3 (1),3 (1),4 (3),13 (5),429389
Abyss,VIT,2,2 (2),0 (0),3 (3),9 (8),429389
Abyss,TH,0,3 (0),2 (0),4 (1),5 (0),429389
All Maps,VIT,3,5 (3),1 (0),8 (7),23 (16),429389
All Maps,TH,1,6 (1),5 (1),8 (4),18 (5),429389
Abyss,FUT,0,6 (0),1 (0),2 (1),11 (6),429400
Abyss,TL,2,2 (2),0 (0),6 (4),12 (7),429400
Bind,FUT,1,4 (1),1 (1),3 (2),16 (9),429400
Bind,TL,1,3 (1),1 (0),5 (1),15 (9),429400
All Maps,FUT,1,3 (1),3 (0),3 (0),8 (3),429400
All Maps,TL,1,3 (2),0 (0),3 (2),11 (9),429400
Lotus,TH,0,4 (0),2 (0),5 (3),6 (1),429401
Lotus,TL,2,2 (2),0 (0),5 (4),10 (7),429401
Abyss,TH,1,3 (1),3 (0),5 (1),6 (2),429401
Abyss,TL,1,3 (2),0 (0),2 (2),12 (9),429401
Fracture,TH,0,4 (0),0 (0),4 (1),12 (6),429401
Fracture,TL,2,2 (2),2 (0),5 (4),11 (7),429401
Haven,TH,1,11 (1),5 (0),14 (5),24 (9),429401
Haven,TL,5,7 (6),2 (0),12 (10),33 (23),429401
Split,VIT,0,4 (0),2 (1),4 (2),13 (7),429390
Split,TL,2,2 (2),2 (0),7 (4),12 (7),429390
Haven,VIT,1,3 (1),0 (0),8 (2),9 (4),429390
Haven,TL,1,3 (1),1 (1),4 (3),12 (8),429390
Lotus,VIT,2,3 (2),2 (1),3 (1),11 (9),429390
Lotus,TL,0,3 (0),0 (0),8 (3),8 (3),429390
Bind,VIT,1,3 (1),0 (0),2 (2),15 (10),429390
Bind,TL,1,3 (1),2 (2),6 (2),9 (2),429390
both,VIT,2,2 (2),0 (0),5 (4),14 (7),429390
both,TL,0,4 (0),0 (0),6 (3),11 (5),429390
All Maps,VIT,6,15 (6),4 (2),22 (11),62 (37),429390
All Maps,TL,4,15 (4),5 (3),31 (15),52 (25),429390
