agent_name,total_utilization,map_utilizations
Viper,71.0,"{'Bind': 88.0, 'Ascent': 11.0, 'Breeze': 93.0, 'Lotus': 89.0, 'Icebox': 88.0, 'Sunset': 29.0, 'Split': 95.0}"
Omen,57.0,"{'Bind': 12.0, 'Ascent': 100.0, 'Breeze': 4.0, 'Lotus': 100.0, 'Icebox': 19.0, 'Sunset': 100.0, 'Split': 90.0}"
Raze,56.0,"{'Bind': 94.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 100.0, 'Icebox': 12.0, 'Sunset': 92.0, 'Split': 100.0}"
Cypher,46.0,"{'Bind': 38.0, 'Ascent': 25.0, 'Breeze': 86.0, 'Lotus': 18.0, 'Icebox': 0.0, 'Sunset': 88.0, 'Split': 85.0}"
Sova,44.0,"{'Bind': 0.0, 'Ascent': 89.0, 'Breeze': 100.0, 'Lotus': 7.0, 'Icebox': 42.0, 'Sunset': 67.0, 'Split': 0.0}"
Jett,37.0,"{'Bind': 0.0, 'Ascent': 89.0, 'Breeze': 75.0, 'Lotus': 7.0, 'Icebox': 73.0, 'Sunset': 4.0, 'Split': 10.0}"
Killjoy,32.0,"{'Bind': 0.0, 'Ascent': 75.0, 'Breeze': 0.0, 'Lotus': 61.0, 'Icebox': 81.0, 'Sunset': 4.0, 'Split': 0.0}"
Kayo,26.0,"{'Bind': 12.0, 'Ascent': 68.0, 'Breeze': 39.0, 'Lotus': 0.0, 'Icebox': 50.0, 'Sunset': 8.0, 'Split': 0.0}"
Skye,26.0,"{'Bind': 82.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 100.0}"
Gekko,24.0,"{'Bind': 65.0, 'Ascent': 4.0, 'Breeze': 0.0, 'Lotus': 18.0, 'Icebox': 46.0, 'Sunset': 25.0, 'Split': 0.0}"
Brimstone,16.0,"{'Bind': 88.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}"
Breach,14.0,"{'Bind': 9.0, 'Ascent': 18.0, 'Breeze': 0.0, 'Lotus': 4.0, 'Icebox': 0.0, 'Sunset': 71.0, 'Split': 5.0}"
Fade,14.0,"{'Bind': 3.0, 'Ascent': 11.0, 'Breeze': 0.0, 'Lotus': 71.0, 'Icebox': 0.0, 'Sunset': 8.0, 'Split': 0.0}"
Yoru,12.0,"{'Bind': 9.0, 'Ascent': 11.0, 'Breeze': 61.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}"
Harbor,12.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 25.0, 'Lotus': 0.0, 'Icebox': 58.0, 'Sunset': 0.0, 'Split': 0.0}"
Astra,6.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 18.0, 'Lotus': 18.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 10.0}"
Reyna,3.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 4.0, 'Icebox': 15.0, 'Sunset': 0.0, 'Split': 0.0}"
Clove,2.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 12.0, 'Sunset': 0.0, 'Split': 0.0}"
Sage,1.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 4.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 5.0}"
Neon,1.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 4.0, 'Split': 0.0}"
Chamber,1.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 4.0, 'Sunset': 0.0, 'Split': 0.0}"
Iso,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}"
Phoenix,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}"
Deadlock,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}"
Tejo,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}"
Vyse,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}"
Waylay,0.0,"{'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Split': 0.0}"
