map_name,times_played,attack_win_percent,defense_win_percent
Bind,17,53%,47%
Ascent,14,45%,55%
Breeze,14,54%,46%
Lotus,14,52%,48%
Icebox,13,61%,39%
Sunset,12,58%,42%
Split,10,43%,57%
