map_name,times_played,attack_win_percent,defense_win_percent
Sunset,20,54%,46%
Lotus,17,48%,52%
Icebox,11,46%,54%
Haven,9,57%,43%
Split,9,50%,50%
Ascent,8,52%,48%
Bind,7,51%,49%
Abyss,1,43%,57%
Breeze,1,38%,63%
