agent_name,total_utilization,map_utilizations
Omen,75.0,"{'Sunset': 93.0, 'Lotus': 97.0, 'Icebox': 5.0, 'Haven': 94.0, 'Split': 94.0, 'Ascent': 94.0, 'Bind': 29.0, 'Abyss': 50.0, 'Breeze': 0.0}"
Cypher,64.0,"{'Sunset': 98.0, 'Lotus': 74.0, 'Icebox': 5.0, 'Haven': 72.0, 'Split': 72.0, 'Ascent': 75.0, 'Bind': 0.0, 'Abyss': 100.0, 'Breeze': 100.0}"
Sova,47.0,"{'Sunset': 58.0, 'Lotus': 15.0, 'Icebox': 77.0, 'Haven': 83.0, 'Split': 0.0, 'Ascent': 94.0, 'Bind': 7.0, 'Abyss': 0.0, 'Breeze': 100.0}"
Raze,39.0,"{'Sunset': 45.0, 'Lotus': 47.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 89.0, 'Ascent': 0.0, 'Bind': 93.0, 'Abyss': 50.0, 'Breeze': 0.0}"
Breach,34.0,"{'Sunset': 35.0, 'Lotus': 50.0, 'Icebox': 0.0, 'Haven': 50.0, 'Split': 89.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 50.0, 'Breeze': 0.0}"
Viper,31.0,"{'Sunset': 3.0, 'Lotus': 29.0, 'Icebox': 95.0, 'Haven': 6.0, 'Split': 22.0, 'Ascent': 0.0, 'Bind': 93.0, 'Abyss': 0.0, 'Breeze': 100.0}"
Gekko,30.0,"{'Sunset': 28.0, 'Lotus': 9.0, 'Icebox': 77.0, 'Haven': 6.0, 'Split': 22.0, 'Ascent': 0.0, 'Bind': 79.0, 'Abyss': 100.0, 'Breeze': 0.0}"
Kayo,29.0,"{'Sunset': 65.0, 'Lotus': 0.0, 'Icebox': 32.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 81.0, 'Bind': 7.0, 'Abyss': 0.0, 'Breeze': 50.0}"
Jett,28.0,"{'Sunset': 10.0, 'Lotus': 12.0, 'Icebox': 59.0, 'Haven': 33.0, 'Split': 17.0, 'Ascent': 94.0, 'Bind': 0.0, 'Abyss': 50.0, 'Breeze': 50.0}"
Fade,27.0,"{'Sunset': 0.0, 'Lotus': 85.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 28.0, 'Ascent': 6.0, 'Bind': 71.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Neon,25.0,"{'Sunset': 53.0, 'Lotus': 29.0, 'Icebox': 14.0, 'Haven': 33.0, 'Split': 11.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Killjoy,23.0,"{'Sunset': 0.0, 'Lotus': 26.0, 'Icebox': 86.0, 'Haven': 28.0, 'Split': 6.0, 'Ascent': 25.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Yoru,14.0,"{'Sunset': 0.0, 'Lotus': 18.0, 'Icebox': 0.0, 'Haven': 39.0, 'Split': 33.0, 'Ascent': 6.0, 'Bind': 14.0, 'Abyss': 0.0, 'Breeze': 100.0}"
Iso,9.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 14.0, 'Haven': 44.0, 'Split': 11.0, 'Ascent': 13.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Brimstone,5.0,"{'Sunset': 0.0, 'Lotus': 3.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 57.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Sage,4.0,"{'Sunset': 8.0, 'Lotus': 0.0, 'Icebox': 14.0, 'Haven': 6.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Skye,4.0,"{'Sunset': 0.0, 'Lotus': 6.0, 'Icebox': 5.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 29.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Astra,4.0,"{'Sunset': 8.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 6.0, 'Ascent': 6.0, 'Bind': 7.0, 'Abyss': 50.0, 'Breeze': 0.0}"
Harbor,2.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 5.0, 'Haven': 6.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 7.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Deadlock,1.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 6.0, 'Bind': 0.0, 'Abyss': 50.0, 'Breeze': 0.0}"
Reyna,1.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 9.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Clove,1.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 7.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Chamber,1.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 5.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Phoenix,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Tejo,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Vyse,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Waylay,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Icebox': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
