map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Split,FUT,1,3 (1),0 (0),2 (2),12 (10),353167
Split,M8,1,3 (1),1 (0),10 (2),3 (1),353167
All Maps,FUT,1,7 (1),0 (0),3 (3),28 (22),353167
All Maps,M8,3,5 (3),3 (0),21 (7),9 (2),353167
Split,MKOI,2,3 (2),2 (0),5 (3),13 (8),353168
Split,NAVI,0,4 (1),2 (0),1 (0),16 (9),353168
Icebox,MKOI,2,2 (2),1 (0),4 (3),12 (8),353168
Icebox,NAVI,0,4 (0),0 (0),7 (2),8 (4),353168
All Maps,MKOI,4,5 (4),3 (0),9 (6),25 (16),353168
All Maps,NAVI,0,8 (1),2 (0),8 (2),24 (13),353168
Bind,TL,0,4 (1),2 (1),0 (0),18 (11),353169
Bind,KC,2,2 (2),4 (0),6 (3),12 (6),353169
Sunset,TL,2,2 (2),0 (0),4 (4),9 (7),353169
Sunset,KC,0,3 (0),2 (0),5 (1),5 (1),353169
All Maps,TL,2,6 (3),2 (1),4 (4),27 (18),353169
All Maps,KC,2,5 (2),6 (0),11 (4),17 (7),353169
Ascent,BBL,0,4 (0),0 (0),6 (2),10 (5),353170
Ascent,VIT,2,2 (2),0 (0),6 (4),12 (7),353170
Sunset,BBL,1,3 (1),1 (1),7 (5),8 (6),353170
Sunset,VIT,1,3 (1),1 (1),7 (1),8 (3),353170
All Maps,BBL,2,2 (2),2 (0),7 (2),13 (7),353170
All Maps,VIT,0,4 (1),1 (0),4 (1),15 (11),353170
Sunset,TH,2,2 (2),1 (0),3 (2),14 (9),353171
Sunset,M8,0,4 (0),1 (1),5 (4),10 (2),353171
Icebox,TH,1,3 (1),0 (0),6 (3),14 (6),353171
Icebox,M8,1,3 (1),0 (0),12 (7),8 (5),353171
All Maps,TH,2,2 (2),0 (0),3 (3),13 (8),353171
All Maps,M8,0,4 (0),0 (0),8 (2),6 (3),353171
Split,FUT,1,3 (1),0 (0),3 (3),11 (9),353172
Split,GX,1,3 (1),0 (0),8 (3),6 (0),353172
Lotus,FUT,1,3 (1),0 (0),3 (3),13 (9),353172
Lotus,GX,1,3 (1),0 (0),11 (4),5 (1),353172
All Maps,FUT,2,6 (2),0 (0),6 (6),24 (18),353172
All Maps,GX,2,6 (2),0 (0),19 (7),11 (1),353172
Icebox,TH,0,5 (0),1 (0),7 (3),11 (8),353173
Icebox,MKOI,2,2 (2),1 (0),6 (5),15 (6),353173
Bind,TH,1,3 (1),0 (0),3 (3),16 (9),353173
Bind,MKOI,1,3 (1),3 (1),5 (3),11 (4),353173
All Maps,TH,0,4 (1),2 (1),1 (0),16 (11),353173
All Maps,MKOI,2,3 (2),1 (0),8 (4),11 (4),353173
Icebox,FNC,1,3 (1),0 (0),1 (1),11 (11),353174
Icebox,TL,1,2 (1),3 (0),5 (1),5 (0),353174
Haven,FNC,1,3 (1),1 (0),3 (3),15 (9),353174
Haven,TL,1,3 (1),2 (1),6 (3),11 (4),353174
All Maps,FNC,2,6 (2),1 (0),4 (4),26 (20),353174
All Maps,TL,2,5 (2),5 (1),11 (4),16 (4),353174
Sunset,NAVI,1,3 (1),2 (0),4 (4),11 (8),353175
Sunset,M8,1,3 (1),1 (0),5 (1),11 (5),353175
Ascent,NAVI,1,3 (1),0 (0),8 (5),10 (2),353175
Ascent,M8,1,3 (1),1 (1),8 (6),9 (5),353175
All Maps,NAVI,0,4 (0),1 (0),5 (4),14 (9),353175
All Maps,M8,2,2 (2),1 (0),11 (6),10 (3),353175
Icebox,VIT,2,2 (2),1 (0),4 (2),10 (9),353203
Icebox,KC,0,4 (0),0 (0),5 (1),8 (3),353203
Lotus,VIT,2,2 (2),1 (0),9 (3),10 (4),353203
Lotus,KC,0,4 (0),0 (0),3 (1),15 (12),353203
All Maps,VIT,1,3 (1),0 (0),11 (6),12 (7),353203
All Maps,KC,1,3 (1),2 (0),3 (1),18 (10),353203
Haven,VIT,2,2 (2),2 (1),5 (1),12 (4),371278
Haven,NAVI,0,4 (1),1 (0),2 (0),14 (12),371278
Sunset,VIT,1,3 (1),0 (0),2 (2),13 (10),371278
Sunset,NAVI,1,3 (1),0 (0),7 (2),8 (2),371278
All Maps,VIT,1,3 (1),2 (0),5 (4),10 (8),371278
All Maps,NAVI,1,3 (1),2 (0),4 (2),11 (4),371278
Icebox,FNC,1,3 (1),0 (0),7 (3),10 (3),371279
Icebox,KC,1,3 (1),1 (0),2 (2),14 (10),371279
Sunset,FNC,1,3 (1),0 (0),6 (4),19 (10),371279
Sunset,KC,1,3 (1),3 (1),6 (3),16 (8),371279
All Maps,FNC,2,2 (2),2 (1),6 (5),9 (5),371279
All Maps,KC,0,4 (0),2 (1),5 (1),8 (4),371279
Icebox,TH,1,3 (1),1 (0),3 (1),19 (12),371280
Icebox,VIT,1,2 (1),2 (1),9 (5),13 (5),371280
Sunset,TH,1,3 (1),2 (0),6 (4),12 (5),371280
Sunset,VIT,1,3 (1),1 (1),6 (4),13 (7),371280
icebox,TH,0,4 (0),1 (0),2 (1),19 (11),371280
icebox,VIT,2,2 (2),1 (1),10 (5),13 (6),371280
All Maps,TH,2,10 (2),4 (0),11 (6),50 (28),371280
All Maps,VIT,4,7 (4),4 (3),25 (14),39 (18),371280
Sunset,FUT,1,3 (1),0 (0),3 (2),22 (10),371281
Sunset,FNC,1,3 (1),2 (1),8 (6),15 (7),371281
Haven,FUT,1,3 (1),2 (0),5 (1),8 (3),371281
Haven,FNC,1,3 (2),0 (0),2 (2),13 (9),371281
All Maps,FUT,2,6 (2),2 (0),8 (3),30 (13),371281
All Maps,FNC,2,6 (3),2 (1),10 (8),28 (16),371281
Lotus,VIT,2,2 (2),0 (0),14 (7),8 (2),371282
Lotus,FNC,0,4 (0),1 (0),3 (2),16 (11),371282
Sunset,VIT,2,2 (2),1 (0),12 (3),4 (1),371282
Sunset,FNC,0,4 (1),0 (0),0 (0),15 (12),371282
All Maps,VIT,4,4 (4),1 (0),26 (10),12 (3),371282
All Maps,FNC,0,8 (1),1 (0),3 (2),31 (23),371282
Abyss,TH,1,3 (1),0 (0),4 (2),16 (10),371284
Abyss,FUT,1,3 (1),2 (0),5 (1),13 (8),371284
Sunset,TH,1,3 (1),1 (1),6 (4),14 (7),371284
Sunset,FUT,1,3 (1),1 (1),4 (2),16 (7),371284
All Maps,TH,2,6 (2),1 (1),10 (6),30 (17),371284
All Maps,FUT,2,6 (2),3 (1),9 (3),29 (15),371284
Icebox,VIT,1,2 (1),3 (0),6 (2),8 (3),371285
Icebox,TH,1,3 (1),0 (0),4 (3),12 (9),371285
Sunset,VIT,2,2 (2),0 (0),7 (5),8 (6),371285
Sunset,TH,0,4 (0),2 (0),2 (1),9 (3),371285
Lotus,VIT,2,2 (2),0 (0),5 (4),9 (7),371285
Lotus,TH,0,4 (0),3 (0),3 (1),6 (2),371285
Haven,VIT,1,3 (1),0 (0),2 (2),17 (10),371285
Haven,TH,1,3 (1),3 (1),3 (1),13 (6),371285
All Maps,VIT,6,9 (6),3 (0),20 (13),42 (26),371285
All Maps,TH,2,14 (2),8 (1),12 (6),40 (20),371285
Haven,FNC,1,3 (1),1 (0),3 (2),14 (10),371283
Haven,VIT,1,3 (1),2 (0),6 (3),10 (4),371283
Ascent,FNC,1,3 (1),2 (1),6 (2),11 (5),371283
Ascent,VIT,1,3 (1),0 (0),7 (4),12 (8),371283
Lotus,FNC,2,2 (2),2 (0),11 (7),7 (4),371283
Lotus,VIT,0,4 (0),0 (0),8 (4),10 (5),371283
Bind,FNC,2,2 (2),0 (0),2 (2),12 (9),371283
Bind,VIT,0,3 (0),0 (0),9 (2),4 (1),371283
Sunset,FNC,6,10 (6),5 (1),22 (13),44 (28),371283
Sunset,VIT,2,13 (2),2 (0),30 (13),36 (18),371283
