map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Lotus,TE,1,4 (1),1 (0),5 (0),6 (2),449002
Haven,T1,2,2 (2),1 (1),4 (2),14 (8),449002
Haven,TE,0,4 (1),3 (0),1 (1),13 (6),449002
All Maps,T1,3,5 (4),1 (1),7 (5),24 (16),449002
All Maps,TE,1,8 (2),4 (0),6 (1),19 (8),449002
Lotus,TL,1,3 (1),0 (0),8 (2),9 (4),449003
Lotus,SEN,1,3 (1),1 (0),8 (5),8 (7),449003
Abyss,TL,2,2 (2),1 (0),6 (3),21 (11),449003
Abyss,SEN,0,4 (0),0 (0),4 (3),22 (11),449003
All Maps,TL,2,2 (2),0 (0),4 (4),8 (7),449003
All Maps,SEN,0,3 (0),1 (0),6 (1),4 (0),449003
Fracture,T1,1,3 (1),2 (0),2 (1),17 (11),449004
Fracture,DRX,1,3 (1),2 (0),6 (5),13 (5),449004
Pearl,T1,2,2 (2),1 (0),5 (4),9 (7),449004
Pearl,DRX,0,4 (0),0 (0),4 (1),9 (3),449004
All Maps,T1,3,5 (3),3 (0),7 (5),26 (18),449004
All Maps,DRX,1,7 (1),2 (0),10 (6),22 (8),449004
Haven,G2,1,3 (1),1 (1),4 (4),10 (7),449005
Haven,TL,1,3 (1),0 (0),8 (2),7 (2),449005
Lotus,G2,1,3 (1),1 (1),2 (1),14 (10),449005
Lotus,TL,1,3 (1),3 (0),8 (4),6 (2),449005
All Maps,G2,2,6 (2),2 (2),6 (5),24 (17),449005
All Maps,TL,2,6 (2),3 (0),16 (6),13 (4),449005
Split,EDG,2,2 (2),1 (0),5 (3),12 (8),449008
Split,T1,0,3 (0),1 (0),7 (3),9 (4),449008
Bind,EDG,0,4 (0),1 (1),3 (1),11 (4),449008
Bind,T1,2,2 (2),2 (2),6 (4),9 (5),449008
All Maps,EDG,0,4 (0),2 (0),3 (3),15 (10),449008
All Maps,T1,2,2 (2),3 (2),8 (3),11 (4),449008
Bind,VIT,2,2 (2),1 (0),6 (4),19 (7),449009
Bind,G2,0,3 (0),2 (0),5 (2),18 (13),449009
Lotus,VIT,0,4 (0),1 (1),4 (1),13 (7),449009
Lotus,G2,2,2 (2),0 (0),6 (4),14 (7),449009
All Maps,VIT,2,6 (2),2 (1),10 (5),32 (14),449009
All Maps,G2,2,5 (2),2 (0),11 (6),32 (20),449009
Lotus,EDG,1,3 (1),1 (0),5 (2),12 (5),449010
Lotus,G2,1,3 (1),1 (0),3 (2),14 (10),449010
Split,EDG,1,3 (1),2 (0),6 (3),9 (3),449010
Split,G2,1,3 (1),0 (0),4 (2),13 (10),449010
All Maps,EDG,2,6 (2),3 (0),11 (5),21 (8),449010
All Maps,G2,2,6 (2),1 (0),7 (4),27 (20),449010
Lotus,T1,1,3 (2),1 (0),4 (1),18 (9),449012
Lotus,VIT,1,3 (1),2 (0),6 (2),15 (11),449012
Haven,T1,2,2 (2),0 (0),5 (5),10 (6),449012
Haven,VIT,0,3 (0),1 (0),7 (2),6 (2),449012
All Maps,T1,1,3 (2),1 (0),1 (0),13 (11),449012
All Maps,VIT,1,3 (2),3 (0),4 (1),8 (2),449012
Bind,EDG,1,3 (1),4 (1),4 (0),6 (2),449013
Bind,T1,1,3 (2),0 (0),3 (3),11 (8),449013
Haven,EDG,1,3 (2),2 (0),5 (1),13 (7),449013
Haven,T1,1,3 (2),3 (0),2 (0),15 (11),449013
Fracture,EDG,2,2 (2),1 (1),9 (4),14 (7),449013
Fracture,T1,0,4 (0),1 (1),2 (0),19 (11),449013
Split,EDG,0,4 (0),1 (1),6 (2),7 (2),449013
Split,T1,2,2 (2),1 (0),3 (2),12 (9),449013
All Maps,EDG,4,12 (5),8 (3),24 (7),40 (18),449013
All Maps,T1,4,12 (6),5 (1),10 (5),57 (39),449013
Lotus,G2,1,2 (1),0 (0),6 (6),10 (6),449011
Lotus,T1,1,4 (1),0 (0),7 (2),7 (2),449011
Haven,G2,1,4 (1),1 (0),7 (3),10 (5),449011
Haven,T1,1,3 (1),2 (1),3 (1),14 (10),449011
Abyss,G2,1,3 (1),2 (0),7 (6),12 (6),449011
Abyss,T1,1,3 (1),1 (0),5 (2),15 (8),449011
Split,G2,0,4 (0),2 (0),2 (1),20 (12),449011
Split,T1,2,2 (2),1 (0),7 (4),18 (9),449011
bans,G2,1,3 (1),0 (0),6 (4),21 (9),449011
bans,T1,1,3 (1),2 (1),6 (4),19 (10),449011
All Maps,G2,4,16 (4),5 (0),28 (20),73 (38),449011
All Maps,T1,6,15 (6),6 (2),28 (13),73 (39),449011
