map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Ascent,100T,1,2 (1),1 (0),3 (2),13 (10),314639
All Maps,C9,2,6 (2),2 (0),13 (5),18 (6),314639
All Maps,100T,2,5 (2),2 (1),6 (5),26 (18),314639
Lotus,SEN,1,3 (1),2 (1),7 (3),11 (8),314640
Lotus,EG,1,3 (1),1 (0),8 (4),11 (5),314640
Bind,SEN,1,3 (1),2 (0),5 (1),14 (9),314640
Bind,EG,1,3 (1),0 (0),7 (3),14 (9),314640
All Maps,SEN,0,5 (1),1 (0),8 (4),9 (5),314640
All Maps,EG,2,2 (2),2 (0),9 (5),10 (6),314640
Split,NRG,1,4 (2),1 (0),3 (1),14 (10),314641
Split,MIBR,1,3 (1),2 (0),7 (5),10 (3),314641
Breeze,NRG,2,2 (2),0 (0),4 (3),10 (8),314641
Breeze,MIBR,0,4 (0),1 (0),5 (1),6 (2),314641
All Maps,NRG,3,6 (4),1 (0),7 (4),24 (18),314641
All Maps,MIBR,1,7 (1),3 (0),12 (6),16 (5),314641
Breeze,G2,1,2 (1),4 (0),5 (2),8 (3),314642
Breeze,LEV,1,3 (1),1 (1),3 (2),12 (9),314642
Icebox,G2,1,3 (1),1 (0),6 (2),11 (10),314642
Icebox,LEV,1,3 (1),0 (0),5 (2),13 (5),314642
All Maps,G2,1,3 (1),1 (1),5 (2),13 (5),314642
All Maps,LEV,1,3 (1),0 (0),5 (4),14 (8),314642
Split,KRÜ,1,4 (2),0 (0),4 (1),13 (10),314643
Split,LOUD,1,3 (1),0 (0),7 (3),11 (4),314643
Ascent,KRÜ,1,3 (1),1 (1),3 (1),14 (10),314643
Ascent,LOUD,1,3 (1),3 (0),4 (3),11 (4),314643
All Maps,KRÜ,2,7 (3),1 (1),7 (2),27 (20),314643
All Maps,LOUD,2,6 (2),3 (0),11 (6),22 (8),314643
Icebox,G2,1,3 (1),3 (2),5 (2),11 (8),314644
Icebox,MIBR,1,3 (1),3 (2),5 (1),11 (5),314644
Bind,G2,1,3 (1),1 (1),1 (1),11 (10),314644
