agent_name,total_utilization,map_utilizations
Viper,81.0,"{'Icebox': 100.0, 'Lotus': 97.0, 'Bind': 100.0, 'Sunset': 25.0, 'Ascent': 15.0, 'Breeze': 100.0, 'Split': 100.0}"
Raze,57.0,"{'Icebox': 0.0, 'Lotus': 100.0, 'Bind': 97.0, 'Sunset': 92.0, 'Ascent': 5.0, 'Breeze': 0.0, 'Split': 100.0}"
Omen,51.0,"{'Icebox': 8.0, 'Lotus': 97.0, 'Bind': 0.0, 'Sunset': 100.0, 'Ascent': 100.0, 'Breeze': 0.0, 'Split': 70.0}"
Killjoy,44.0,"{'Icebox': 100.0, 'Lotus': 76.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 85.0, 'Breeze': 0.0, 'Split': 0.0}"
Sova,37.0,"{'Icebox': 68.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 21.0, 'Ascent': 90.0, 'Breeze': 100.0, 'Split': 0.0}"
Gekko,37.0,"{'Icebox': 61.0, 'Lotus': 15.0, 'Bind': 70.0, 'Sunset': 58.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 25.0}"
Jett,34.0,"{'Icebox': 61.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 95.0, 'Breeze': 85.0, 'Split': 25.0}"
Cypher,32.0,"{'Icebox': 0.0, 'Lotus': 18.0, 'Bind': 13.0, 'Sunset': 96.0, 'Ascent': 5.0, 'Breeze': 95.0, 'Split': 35.0}"
Kayo,28.0,"{'Icebox': 32.0, 'Lotus': 0.0, 'Bind': 20.0, 'Sunset': 17.0, 'Ascent': 95.0, 'Breeze': 60.0, 'Split': 0.0}"
Fade,24.0,"{'Icebox': 0.0, 'Lotus': 79.0, 'Bind': 27.0, 'Sunset': 13.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 30.0}"
Skye,21.0,"{'Icebox': 0.0, 'Lotus': 6.0, 'Bind': 60.0, 'Sunset': 21.0, 'Ascent': 5.0, 'Breeze': 0.0, 'Split': 65.0}"
Brimstone,17.0,"{'Icebox': 0.0, 'Lotus': 3.0, 'Bind': 100.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Harbor,10.0,"{'Icebox': 47.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 5.0, 'Split': 0.0}"
Breach,10.0,"{'Icebox': 0.0, 'Lotus': 3.0, 'Bind': 10.0, 'Sunset': 50.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 15.0}"
Yoru,5.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 3.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 40.0, 'Split': 5.0}"
Astra,5.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 15.0, 'Split': 30.0}"
Sage,3.0,"{'Icebox': 13.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 5.0, 'Breeze': 0.0, 'Split': 0.0}"
Reyna,2.0,"{'Icebox': 11.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Phoenix,1.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 8.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Deadlock,1.0,"{'Icebox': 0.0, 'Lotus': 6.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Neon,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Iso,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Clove,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Tejo,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Chamber,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Vyse,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Waylay,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
