map_name,times_played,attack_win_percent,defense_win_percent
Icebox,19,49%,51%
Lotus,17,57%,43%
Bind,15,52%,48%
Sunset,12,56%,44%
Ascent,10,48%,52%
Breeze,10,46%,54%
Split,10,49%,51%
