map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
All Maps,MKOI,0,4 (0),0 (0),4 (0),9 (4),511565
All Maps,KC,2,2 (2),1 (0),4 (3),10 (8),511565
Bind,NAVI,0,4 (0),0 (0),2 (0),17 (13),511566
Bind,FNC,2,2 (2),1 (0),9 (3),11 (5),511566
Ascent,NAVI,1,2 (1),1 (0),7 (3),14 (7),511566
Ascent,FNC,1,3 (1),2 (0),5 (3),14 (9),511566
All Maps,NAVI,2,2 (2),2 (0),7 (4),17 (7),511566
All Maps,FNC,0,4 (0),1 (0),4 (3),19 (12),511566
Haven,VIT,1,4 (2),2 (1),5 (2),13 (6),511567
Haven,TH,1,3 (1),2 (1),3 (3),16 (8),511567
Ascent,VIT,1,3 (1),2 (0),6 (3),11 (5),511567
Ascent,TH,1,3 (1),2 (0),4 (3),13 (9),511567
All Maps,VIT,2,7 (3),4 (1),11 (5),24 (11),511567
All Maps,TH,2,6 (2),4 (1),7 (6),29 (17),511567
Haven,FUT,1,3 (1),3 (1),3 (0),10 (4),511568
Haven,TH,1,3 (2),0 (0),4 (1),12 (10),511568
Bind,FUT,1,4 (1),1 (1),4 (1),11 (4),511568
Bind,TH,1,3 (1),0 (0),2 (2),15 (10),511568
All Maps,FUT,2,7 (2),4 (2),7 (1),21 (8),511568
All Maps,TH,2,6 (3),0 (0),6 (3),27 (20),511568
Lotus,MKOI,1,4 (2),0 (0),8 (3),10 (4),511569
Lotus,APK,1,3 (1),1 (0),6 (5),12 (7),511569
Ascent,MKOI,2,2 (2),1 (0),3 (3),11 (8),511569
Ascent,APK,0,3 (0),2 (1),5 (0),7 (3),511569
All Maps,MKOI,1,3 (1),0 (0),5 (4),13 (8),511569
All Maps,APK,1,3 (1),0 (0),6 (4),12 (3),511569
Corrode,M8,1,3 (1),1 (0),3 (1),14 (11),511570
Corrode,GX,1,3 (1),2 (0),6 (3),10 (4),511570
Ascent,M8,1,3 (1),2 (1),5 (3),16 (7),511570
Ascent,GX,1,3 (1),1 (0),6 (4),16 (9),511570
All Maps,M8,0,4 (0),1 (0),5 (0),7 (4),511570
All Maps,GX,2,2 (2),0 (0),5 (4),10 (7),511570
Sunset,NAVI,1,3 (1),2 (1),5 (4),16 (8),511571
Sunset,KC,1,4 (2),1 (0),7 (3),14 (7),511571
Corrode,NAVI,1,3 (1),1 (0),2 (1),15 (11),511571
Corrode,KC,1,3 (1),2 (0),7 (6),9 (1),511571
Icebox,NAVI,2,6 (2),3 (1),7 (5),31 (19),511571
Icebox,KC,2,7 (3),3 (0),14 (9),23 (8),511571
Lotus,VIT,1,2 (1),2 (0),6 (6),14 (6),511572
Lotus,BBL,1,3 (1),2 (0),4 (3),15 (7),511572
Icebox,VIT,1,3 (1),1 (0),6 (3),10 (3),511572
Icebox,BBL,1,3 (1),2 (0),2 (2),13 (10),511572
All Maps,VIT,0,3 (0),2 (0),4 (2),14 (8),511572
All Maps,BBL,2,2 (2),0 (0),5 (3),16 (8),511572
Bind,TL,1,3 (1),0 (0),5 (1),18 (12),511573
Bind,FNC,1,3 (2),2 (0),7 (4),14 (6),511573
Ascent,TL,2,2 (2),0 (0),3 (3),9 (8),511573
Ascent,FNC,0,3 (0),0 (0),5 (0),6 (1),511573
Sunset,TL,3,5 (3),0 (0),8 (4),27 (20),511573
Sunset,FNC,1,6 (2),2 (0),12 (4),20 (7),511573
Icebox,MKOI,2,3 (2),2 (0),6 (1),11 (6),511575
Icebox,NAVI,0,4 (1),0 (0),2 (1),16 (11),511575
Corrode,MKOI,1,4 (1),1 (0),7 (4),18 (11),511575
Corrode,NAVI,1,3 (2),1 (0),5 (2),21 (10),511575
Bind,MKOI,0,3 (0),3 (0),3 (2),7 (1),511575
Bind,NAVI,2,2 (2),0 (0),3 (3),11 (8),511575
Haven,MKOI,3,10 (3),6 (0),16 (7),36 (18),511575
Haven,NAVI,3,9 (5),1 (0),10 (6),48 (29),511575
Bind,APK,0,3 (0),2 (0),7 (3),6 (2),511576
Bind,FNC,2,2 (2),1 (1),4 (3),11 (7),511576
Lotus,APK,1,3 (2),3 (0),4 (1),13 (7),511576
Lotus,FNC,1,3 (1),1 (0),5 (2),14 (10),511576
All Maps,APK,1,6 (2),5 (0),11 (4),19 (9),511576
All Maps,FNC,3,5 (3),2 (1),9 (5),25 (17),511576
Abyss,GX,1,3 (1),0 (0),9 (5),8 (1),511577
Abyss,TH,1,3 (1),0 (0),5 (4),12 (8),511577
Haven,GX,0,3 (0),1 (0),7 (3),5 (0),511577
Haven,TH,2,2 (2),1 (1),3 (2),10 (8),511577
All Maps,GX,1,6 (1),1 (0),16 (8),13 (1),511577
All Maps,TH,3,5 (3),1 (1),8 (6),22 (16),511577
Corrode,M8,0,4 (0),0 (0),5 (1),8 (3),511579
Corrode,VIT,2,2 (2),0 (0),4 (3),11 (8),511579
Lotus,M8,1,3 (1),0 (0),4 (2),15 (10),511579
Lotus,VIT,1,3 (1),1 (1),8 (3),10 (4),511579
All Maps,M8,1,3 (1),2 (2),5 (1),13 (6),511579
All Maps,VIT,1,4 (1),1 (0),6 (4),12 (8),511579
Sunset,FUT,0,4 (0),3 (1),1 (0),16 (10),511580
Sunset,BBL,2,2 (2),2 (1),6 (3),14 (7),511580
Ascent,FUT,0,4 (0),2 (1),1 (0),15 (8),511580
Ascent,BBL,2,2 (2),4 (2),4 (2),12 (7),511580
All Maps,FUT,0,8 (0),5 (2),2 (0),31 (18),511580
All Maps,BBL,4,4 (4),6 (3),10 (5),26 (14),511580
Lotus,TL,1,3 (1),1 (0),4 (2),18 (11),511581
Lotus,KC,1,3 (1),1 (0),6 (5),16 (6),511581
Bind,TL,1,3 (1),2 (0),4 (3),19 (9),511581
Bind,KC,1,3 (1),1 (0),12 (6),12 (8),511581
All Maps,TL,0,4 (1),0 (0),5 (1),17 (10),511581
All Maps,KC,2,2 (2),2 (0),6 (3),16 (9),511581
Corrode,FNC,2,2 (2),0 (0),6 (4),12 (7),530924
Corrode,BBL,0,4 (0),3 (1),2 (0),11 (6),530924
Ascent,FNC,1,3 (2),1 (0),8 (2),8 (3),530924
Ascent,BBL,1,3 (1),0 (0),2 (0),15 (12),530924
All Maps,FNC,0,4 (1),0 (0),6 (1),12 (7),530924
All Maps,BBL,2,2 (2),2 (0),6 (3),12 (8),530924
Bind,GX,0,3 (0),3 (1),5 (2),7 (2),530925
Bind,NAVI,2,2 (2),0 (0),3 (3),13 (8),530925
Haven,GX,2,2 (2),0 (0),8 (6),11 (5),530925
Haven,NAVI,0,3 (0),2 (0),5 (2),11 (6),530925
All Maps,GX,1,3 (1),1 (1),2 (2),13 (9),530925
All Maps,NAVI,1,3 (1),1 (0),6 (2),9 (3),530925
Icebox,TH,0,4 (1),1 (1),6 (2),8 (2),530928
Icebox,BBL,2,3 (2),2 (2),4 (2),10 (7),530928
Ascent,TH,0,4 (0),2 (0),2 (1),16 (10),530928
Ascent,BBL,2,2 (2),3 (1),4 (2),15 (8),530928
All Maps,TH,0,8 (1),3 (1),8 (3),24 (12),530928
All Maps,BBL,4,5 (4),5 (3),8 (4),25 (15),530928
Sunset,TL,1,3 (1),1 (1),2 (2),11 (9),530929
Sunset,GX,1,3 (1),1 (0),4 (1),9 (2),530929
Corrode,TL,2,2 (2),2 (0),6 (3),14 (6),530929
Corrode,GX,0,4 (0),3 (0),3 (1),14 (12),530929
All Maps,TL,1,3 (1),3 (0),5 (2),15 (11),530929
All Maps,GX,1,4 (1),1 (0),5 (2),16 (9),530929
Haven,FNC,2,2 (2),1 (0),10 (8),13 (2),530926
Haven,KC,0,4 (0),0 (0),1 (1),21 (13),530926
Corrode,FNC,1,3 (1),1 (1),7 (4),15 (8),530926
Corrode,KC,1,3 (1),3 (0),2 (2),18 (9),530926
All Maps,FNC,2,2 (2),0 (0),8 (4),11 (7),530926
All Maps,KC,0,4 (0),1 (0),4 (1),12 (7),530926
Haven,NAVI,1,3 (1),0 (0),4 (3),13 (9),530927
Haven,VIT,1,3 (1),1 (0),10 (4),6 (2),530927
Bind,NAVI,2,2 (2),2 (1),6 (1),14 (9),530927
Bind,VIT,0,4 (1),1 (0),3 (1),16 (9),530927
All Maps,NAVI,3,5 (3),2 (1),10 (4),27 (18),530927
All Maps,VIT,1,7 (2),2 (0),13 (5),22 (11),530927
Lotus,GX,1,3 (1),0 (0),5 (2),15 (10),530930
Lotus,FNC,1,3 (1),2 (0),7 (4),11 (5),530930
Sunset,GX,2,2 (2),1 (0),8 (5),12 (6),530930
Sunset,FNC,0,4 (0),0 (0),4 (2),15 (8),530930
All Maps,GX,3,5 (3),1 (0),13 (7),27 (16),530930
All Maps,FNC,1,7 (1),2 (0),11 (6),26 (13),530930
Icebox,TH,0,5 (0),1 (0),3 (1),7 (2),530931
Icebox,NAVI,2,2 (2),0 (0),3 (3),11 (8),530931
Haven,TH,1,3 (1),2 (0),5 (1),10 (5),530931
Haven,NAVI,1,3 (1),0 (0),3 (2),14 (10),530931
All Maps,TH,1,8 (1),3 (0),8 (2),17 (7),530931
All Maps,NAVI,3,5 (3),0 (0),6 (5),25 (18),530931
Ascent,BBL,1,3 (1),1 (1),6 (2),13 (6),530932
Ascent,TL,1,3 (1),1 (0),5 (4),14 (8),530932
Sunset,BBL,0,4 (1),2 (1),3 (3),14 (8),530932
Sunset,TL,2,2 (2),2 (0),8 (4),11 (4),530932
All Maps,BBL,2,3 (2),1 (1),8 (4),14 (5),530932
All Maps,TL,0,4 (1),0 (0),6 (3),16 (10),530932
Icebox,GX,1,3 (1),1 (0),5 (2),10 (3),530933
Icebox,NAVI,1,3 (1),0 (0),2 (2),14 (10),530933
Sunset,GX,2,2 (2),1 (0),4 (3),12 (8),530933
